Dataset,MajorityClass,Forest,Cropland,Built-up,Water,Bareland,Wetland,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Grassland,348,12,51,62,106,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Non_Wetland,3,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Wetland,121,3,0,78,15,0,165,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Bareland,121,2,14,123,0,0,307,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Built-up,80,0,0,11,11,0,134,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Water,884,8,5,0,451,21,1197,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Forest,0,19,25,286,129,3,855,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Non_Water,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Cropland,107,0,22,13,18,0,147,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R,Permanent_ice_and_snow,4,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEK_M_R,Grassland,0,0,0,74,0,74,0,431,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEK_M_R,Wetland,0,0,0,1,0,0,0,60,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEK_M_R,Forest,0,0,0,172,0,309,0,821,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEK_M_R,Water,0,0,0,0,0,412,0,461,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEK_M_R,Cropland,0,0,0,3,0,1,0,73,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEK_M_R,Bareland,0,0,0,71,0,76,0,167,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEK_M_R,Built-up,0,0,0,10,0,6,0,29,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Grassland,107,0,3,164,210,186,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Non_Wetland,0,0,0,0,0,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Bareland,138,0,1,137,0,174,190,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Built-up,11,0,0,11,101,24,61,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Water,506,0,3,0,275,598,910,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Forest,0,0,34,420,259,586,771,0,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Non_Water,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Cropland,37,0,1,20,63,66,128,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Wetland,14,0,0,44,16,0,81,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,Permanent_ice_and_snow,0,0,0,1,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Non_Wetland,0,0,0,1,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Forest,0,5,27,473,866,219,792,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Grassland,43,1,15,230,504,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Non_Water,0,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Water,91,6,58,0,1082,31,614,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Cropland,5,0,7,45,164,0,87,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Bareland,0,4,3,137,0,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Built-up,1,0,0,21,110,3,55,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Wetland,9,0,0,80,121,0,96,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,Permanent_ice_and_snow,0,0,0,1,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEK_M_R,Grassland,0,0,0,286,0,0,0,0,0,130,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEK_M_R,Water,0,0,0,0,0,0,0,0,0,719,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEK_M_R,Cropland,0,0,0,19,0,0,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEK_M_R,Bareland,0,0,0,168,0,0,0,0,0,162,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEK_M_R,Wetland,0,0,0,95,0,0,0,0,0,80,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEK_M_R,Built-up,0,0,0,18,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEK_M_R,Forest,0,0,0,601,0,0,0,0,0,367,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEK_M_R,Grassland,311,333,189,74,153,74,0,0,92,0,29,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEK_M_R,Bareland,59,190,97,71,0,76,27,0,8,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEK_M_R,Forest,0,390,245,172,270,309,215,0,124,0,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEK_M_R,Water,433,404,247,0,376,412,250,0,104,0,46,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEK_M_R,Built-up,34,50,0,10,4,6,21,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEK_M_R,Cropland,28,0,25,3,3,1,5,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEK_M_R,Wetland,15,11,8,1,7,0,4,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEK_M_R,Permanent_ice_and_snow,0,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEK_M_R,Grassland,142,279,123,193,6,194,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEK_M_R,Forest,0,121,145,489,19,151,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEK_M_R,Bareland,81,34,52,142,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEK_M_R,Water,259,140,79,0,146,235,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEK_M_R,Built-up,1,9,0,0,0,1,0,0,0,0,0,0
