Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R,Shrubland,164,44,79,34,8,24,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R,Grassland,0,218,248,137,34,56,99,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R,Non_Wetland,12,3,10,8,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R,Bareland,111,18,32,5,0,43,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R,Water,1326,253,885,565,239,126,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R,Forest,1364,316,0,300,55,140,250,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R,Cropland,883,0,484,70,189,200,135,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R,Wetland,766,76,422,0,43,17,185,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R,Built-up,245,88,181,1,90,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R,Non_Water,2,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,Non_Wetland,5,0,2,17,4,0,3,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,Shrubland,47,0,16,54,23,4,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,Grassland,0,0,115,304,51,21,151,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,Cropland,567,0,238,323,264,173,180,204,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,Wetland,174,0,207,0,23,8,498,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,Bareland,21,0,2,7,0,45,71,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,Forest,576,0,0,837,227,60,552,375,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,Non_Water,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,Water,395,0,361,652,61,71,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,Built-up,90,0,30,20,107,0,46,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KED_M_R,Wetland,0,0,0,0,0,0,71,0,1096,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KED_M_R,Grassland,0,0,0,145,0,0,65,0,685,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KED_M_R,Forest,0,0,0,372,0,0,194,0,1874,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KED_M_R,Water,0,0,0,622,0,0,0,0,1111,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KED_M_R,Shrubland,0,0,0,0,0,0,0,0,121,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KED_M_R,Bareland,0,0,0,25,0,0,12,0,27,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KED_M_R,Cropland,0,0,0,71,0,0,43,0,624,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KED_M_R,Built-up,0,0,0,12,0,0,4,0,49,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,Non_Wetland,10,0,0,18,2,0,2,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,Grassland,0,35,74,252,126,23,165,94,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,Wetland,266,2,142,0,89,2,251,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,Forest,795,111,0,956,383,63,342,449,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,Bareland,14,6,3,4,0,11,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,Non_Water,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,Water,781,76,317,881,687,33,0,82,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,Shrubland,54,5,4,39,29,4,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,Cropland,600,0,105,287,395,158,140,156,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,Built-up,123,21,12,31,169,0,18,21,0,0,0,0
