Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R,Shrubland,3,3,3,1,2,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R,Grassland,0,13,11,12,4,20,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R,Cropland,85,0,71,26,40,71,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R,Wetland,55,16,60,0,52,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R,Lichens_and_Mosses,1,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R,Bareland,100,48,0,20,72,100,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R,Built-up,17,10,15,0,2,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R,Water,139,46,136,5,0,130,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R,Forest,104,52,91,33,56,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KME_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KME_M_R,Cropland,0,0,0,0,15,0,22,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KME_M_R,Wetland,0,0,0,0,0,0,0,65,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KME_M_R,Bareland,0,0,0,0,23,0,40,65,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KME_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KME_M_R,Water,0,0,0,0,0,0,57,33,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KME_M_R,Forest,0,0,0,0,27,0,38,44,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KME_M_R,Grassland,0,0,0,0,4,0,3,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KME_M_R,Shrubland,0,0,0,0,4,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KME_M_R,Grassland,0,0,0,0,12,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KME_M_R,Cropland,0,0,0,0,59,0,0,0,28,0,0,0
