Dataset,MajorityClass,Shrubland,Grassland,Bareland,Built-up,Forest,Wetland,Cropland,Water,Permanent_ice_and_snow,Non_Wetland
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRV_M_R,Cropland,6,5,4,4,4,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRV_M_R,Wetland,2,2,1,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRV_M_R,Bareland,8,6,0,2,6,1,6,4,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRV_M_R,Built-up,1,1,1,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRV_M_R,Water,7,7,6,1,6,1,6,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRV_M_R,Forest,8,7,6,5,0,1,6,1,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRV_M_R,Grassland,6,0,5,4,5,0,5,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRV_M_R,Permanent_ice_and_snow,5,2,6,1,5,0,5,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRV_M_R,Wetland,0,0,2,2,1,0,2,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRV_M_R,Water,0,0,9,7,8,2,6,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRV_M_R,Grassland,0,0,0,5,6,4,6,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRV_M_R,Cropland,0,0,1,6,4,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRV_M_R,Bareland,0,0,0,5,4,1,5,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRV_M_R,Permanent_ice_and_snow,0,0,6,4,4,0,3,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRV_M_R,Forest,0,0,4,5,0,4,6,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRV_M_R,Wetland,0,0,0,0,0,0,0,0,0,7
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRV_M_R,Grassland,0,0,0,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRV_M_R,Cropland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRV_M_R,Bareland,0,0,0,0,0,1,0,1,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRV_M_R,Water,0,0,0,0,0,1,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRV_M_R,Forest,0,0,0,0,0,1,0,1,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRV_M_R,Wetland,0,1,1,0,4,0,1,3,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRV_M_R,Water,0,3,2,0,3,1,1,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRV_M_R,Cropland,0,1,1,0,1,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRV_M_R,Built-up,0,1,1,0,1,0,1,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRV_M_R,Forest,0,1,1,0,0,0,1,1,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRV_M_R,Bareland,0,0,0,0,0,0,0,1,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0
