Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Cropland,Grassland,Wetland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R,Grassland,269,93,36,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R,Non_Wetland,3,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R,Cropland,82,34,2,0,0,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R,Wetland,215,6,39,86,0,333,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R,Bareland,41,31,0,1,0,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R,Built-up,79,0,23,0,0,101,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R,Water,359,9,79,0,0,297,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R,Forest,0,77,9,49,0,278,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R,Shrubland,16,6,0,0,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYR_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYR_M_R,Grassland,0,0,0,12,0,0,60,265,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYR_M_R,Wetland,0,0,0,3,0,0,0,138,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYR_M_R,Forest,0,0,0,54,0,0,165,521,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYR_M_R,Water,0,0,0,0,0,0,268,277,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYR_M_R,Shrubland,0,0,0,0,0,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYR_M_R,Bareland,0,0,0,0,0,0,1,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYR_M_R,Built-up,0,0,0,1,0,0,1,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYR_M_R,Cropland,0,0,0,0,0,0,1,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,Grassland,72,51,121,21,0,0,98,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,Non_Wetland,1,0,0,0,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,Cropland,17,4,18,0,0,71,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,Bareland,4,9,0,3,0,53,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,Built-up,11,0,51,1,0,53,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,Water,94,15,16,0,0,235,183,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,Forest,0,45,114,154,0,451,304,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,Shrubland,2,3,7,1,0,7,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,Wetland,46,0,8,179,0,144,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYR_M_R,Lichens_and_Mosses,0,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,Non_Wetland,0,0,1,1,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,Forest,0,42,206,168,29,404,296,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,Grassland,32,62,191,59,55,0,155,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYR_M_R,Shrubland,0,4,12,2,3,6,7,0,0,0,0,0
