Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Water,Cropland,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R,Grassland,263,72,40,8,7,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R,Non_Wetland,5,0,1,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R,Cropland,57,8,3,0,0,0,83,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R,Wetland,219,4,69,0,176,0,437,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R,Bareland,45,32,0,0,15,1,97,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R,Built-up,81,0,27,0,3,0,115,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R,Water,441,4,110,37,0,0,445,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R,Forest,0,37,11,3,79,0,367,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R,Shrubland,17,5,7,0,2,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,Grassland,0,0,0,65,17,0,0,284,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,Wetland,0,0,0,0,2,0,0,143,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,Forest,0,0,0,195,50,0,0,589,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,Water,0,0,0,428,0,0,0,447,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,Shrubland,0,0,0,0,0,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,Bareland,0,0,0,16,1,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,Built-up,0,0,0,0,0,0,0,45,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,Cropland,0,0,0,0,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,Grassland,91,34,119,85,34,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,Non_Wetland,1,0,2,3,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,Cropland,12,7,10,1,1,0,60,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,Bareland,3,15,0,9,12,0,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,Built-up,9,0,65,13,4,0,61,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,Water,126,2,57,352,0,0,290,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,Forest,0,41,138,391,212,0,434,0,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,Shrubland,3,4,6,10,5,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,Wetland,31,0,27,0,242,0,136,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,Non_Wetland,0,0,1,7,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,Forest,0,54,216,315,200,35,465,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,Grassland,41,63,206,200,54,57,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,Water,85,17,85,376,0,35,243,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,Shrubland,1,2,13,14,3,7,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,Built-up,0,0,89,37,0,9,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,Wetland,15,0,41,0,166,25,164,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,Bareland,0,8,0,16,5,19,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,Cropland,2,4,49,20,2,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,Water,0,0,0,0,0,0,0,0,0,194,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,Grassland,0,0,0,0,97,0,0,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,Wetland,0,0,0,0,349,0,0,0,0,134,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,Shrubland,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,Bareland,0,0,0,0,25,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,Built-up,0,0,0,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,Forest,0,0,0,0,212,0,0,0,0,89,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,Grassland,116,75,66,65,17,7,0,0,234,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,Built-up,11,0,0,0,0,0,61,0,67,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,Forest,0,89,155,195,50,8,294,0,268,0,13
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,Wetland,8,23,13,0,2,0,8,0,63,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,Bareland,13,46,0,16,1,0,41,0,72,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,Water,117,70,159,428,0,0,127,0,256,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,Cropland,23,10,2,0,0,0,34,0,58,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,Grassland,125,90,9,6,127,263,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,Forest,0,100,0,57,298,97,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,Bareland,19,19,0,0,6,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,Built-up,8,0,3,0,2,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,Wetland,73,17,71,0,217,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,Water,64,4,58,70,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,Cropland,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,Forest,0,0,20,5,46,50,42,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,Wetland,297,0,34,0,101,19,22,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,Bareland,15,0,0,0,1,10,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,Cropland,1,0,17,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,Water,392,0,70,80,0,22,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,Built-up,57,0,32,0,3,28,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,Grassland,232,0,73,19,85,101,0,0,0,0,0
