Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Shrubland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R,Shrubland,3,2,3,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R,Grassland,0,11,26,13,8,26,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R,Cropland,50,0,31,9,10,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R,Wetland,54,23,44,1,40,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R,Bareland,69,31,0,2,46,67,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R,Built-up,13,5,11,0,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R,Water,158,84,153,10,0,159,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R,Forest,92,51,91,16,55,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R,Permanent_ice_and_snow,7,0,7,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWJ_M_R,Shrubland,0,0,0,0,4,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWJ_M_R,Grassland,0,0,0,0,28,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWJ_M_R,Wetland,0,0,0,0,48,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWJ_M_R,Bareland,0,0,0,0,87,0,0,51,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWJ_M_R,Built-up,0,0,0,0,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWJ_M_R,Water,0,0,0,0,0,0,0,180,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWJ_M_R,Forest,0,0,0,0,126,0,0,65,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWJ_M_R,Cropland,0,0,0,0,18,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWJ_M_R,Water,82,35,37,29,0,92,63,0,103,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWJ_M_R,Cropland,31,0,11,9,4,34,5,0,48,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWJ_M_R,Bareland,52,22,0,29,22,55,39,0,67,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWJ_M_R,Built-up,7,3,2,0,1,8,0,0,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWJ_M_R,Forest,66,38,36,27,24,0,40,0,90,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWJ_M_R,Grassland,0,7,5,5,6,21,9,0,34,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWJ_M_R,Wetland,1,0,0,0,0,3,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWJ_M_R,Permanent_ice_and_snow,4,1,1,0,0,5,0,0,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWJ_M_R,Forest,0,0,0,0,24,0,40,0,0,24,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWJ_M_R,Bareland,0,0,0,0,22,0,39,0,0,5,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWJ_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWJ_M_R,Water,0,0,0,0,0,0,63,0,0,16,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWJ_M_R,Grassland,0,0,0,0,6,0,9,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWJ_M_R,Cropland,0,0,0,0,4,0,5,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWJ_M_R,Wetland,0,0,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWJ_M_R,Grassland,0,26,19,15,18,37,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWJ_M_R,Wetland,0,12,41,6,26,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWJ_M_R,Bareland,0,11,0,6,37,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWJ_M_R,Built-up,0,3,0,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWJ_M_R,Water,0,46,138,16,0,112,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWJ_M_R,Forest,0,44,55,29,58,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWJ_M_R,Cropland,0,0,12,5,19,22,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWJ_M_R,Permanent_ice_and_snow,0,0,3,0,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWJ_M_R,Water,32,61,73,0,0,85,9,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWJ_M_R,Wetland,16,35,24,0,28,32,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWJ_M_R,Bareland,9,11,0,0,24,26,3,0,0,0,4
