Dataset,MajorityClass,Cropland,Forest,Bareland,Built-up,Water,Wetland,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22KDU_M_R,Grassland,138,233,26,45,10,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDU_M_R,Non_Wetland,1,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDU_M_R,Bareland,13,41,0,22,6,0,62,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDU_M_R,Water,92,537,154,36,0,25,430,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDU_M_R,Forest,256,0,89,152,126,6,688,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDU_M_R,Cropland,0,430,146,163,72,0,549,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDU_M_R,Wetland,7,39,1,0,7,0,41,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDU_M_R,Shrubland,6,7,1,4,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDU_M_R,Built-up,135,210,100,0,33,0,257,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDU_M_R,Non_Wetland,0,0,0,0,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDU_M_R,Grassland,0,107,60,68,59,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDU_M_R,Forest,0,0,142,184,331,156,261,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDU_M_R,Shrubland,0,2,1,2,2,1,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDU_M_R,Cropland,0,230,243,261,180,61,220,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDU_M_R,Bareland,0,5,0,27,69,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDU_M_R,Built-up,0,51,129,0,53,6,39,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDU_M_R,Water,0,137,30,98,0,28,53,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDU_M_R,Wetland,0,2,1,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDU_M_R,Forest,157,0,138,79,219,383,308,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDU_M_R,Non_Wetland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDU_M_R,Grassland,72,97,23,16,12,101,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDU_M_R,Built-up,36,55,166,0,24,66,111,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDU_M_R,Shrubland,2,2,1,0,0,2,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDU_M_R,Cropland,0,177,200,140,49,177,270,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDU_M_R,Water,5,169,89,74,0,188,42,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDU_M_R,Bareland,0,1,0,3,1,2,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDU_M_R,Wetland,0,9,1,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDU_M_R,Grassland,0,0,0,0,20,8,0,134,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDU_M_R,Wetland,0,0,0,0,2,0,0,53,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDU_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDU_M_R,Cropland,0,0,0,0,41,8,0,221,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDU_M_R,Built-up,0,0,0,0,20,0,0,72,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDU_M_R,Forest,0,0,0,0,88,116,0,492,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDU_M_R,Bareland,0,0,0,0,11,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDU_M_R,Water,0,0,0,0,0,139,0,176,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDU_M_R,Grassland,270,201,21,103,20,8,0,0,208,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDU_M_R,Built-up,213,130,7,0,20,0,19,0,116,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDU_M_R,Forest,510,0,93,228,88,116,162,0,318,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDU_M_R,Cropland,0,303,33,212,41,8,87,0,242,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDU_M_R,Wetland,11,20,0,1,2,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDU_M_R,Bareland,93,33,0,91,11,0,0,0,23,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDU_M_R,Water,352,325,101,85,0,139,49,0,88,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDU_M_R,Cropland,0,0,0,0,48,0,0,0,0,0,49
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDU_M_R,Grassland,0,0,0,0,15,0,0,0,0,0,28
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDU_M_R,Water,0,0,0,0,0,0,0,0,0,0,402
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDU_M_R,Forest,0,0,0,0,148,0,0,0,0,0,226
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDU_M_R,Built-up,0,0,0,0,21,0,0,0,0,0,15
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDU_M_R,Wetland,0,0,0,0,9,0,0,0,0,0,24
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDU_M_R,Bareland,0,0,0,0,7,0,0,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDU_M_R,Grassland,429,126,0,176,29,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDU_M_R,Forest,737,0,1,374,337,16,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDU_M_R,Wetland,54,5,0,13,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDU_M_R,Bareland,109,6,0,57,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDU_M_R,Built-up,160,20,5,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDU_M_R,Water,512,60,4,97,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDU_M_R,Cropland,0,81,0,194,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDU_M_R,Bareland,11,21,0,0,18,0,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDU_M_R,Forest,146,0,21,0,110,13,122,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDU_M_R,Cropland,0,229,36,0,82,3,133,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDU_M_R,Built-up,138,167,48,0,43,0,70,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDU_M_R,Water,55,342,36,0,0,50,50,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDU_M_R,Wetland,0,37,0,0,23,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDU_M_R,Grassland,91,128,12,0,32,2,0,0,0,0,0
