Dataset,MajorityClass,Forest,Built-up,Cropland,Wetland,Bareland,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MZU_M_R,Grassland,280,53,26,54,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZU_M_R,Non_Wetland,3,0,0,1,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZU_M_R,Cropland,70,12,0,0,2,76,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZU_M_R,Wetland,498,0,17,0,4,853,121,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZU_M_R,Bareland,40,11,2,1,0,75,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZU_M_R,Forest,0,38,0,26,6,379,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZU_M_R,Water,296,1,9,253,50,344,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZU_M_R,Shrubland,13,5,0,3,5,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZU_M_R,Built-up,77,0,0,0,18,84,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZU_M_R,Non_Wetland,3,0,0,6,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZU_M_R,Grassland,128,24,0,283,87,0,48,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZU_M_R,Cropland,35,2,0,19,21,73,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZU_M_R,Wetland,63,0,0,0,28,262,490,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZU_M_R,Bareland,20,0,0,12,0,71,17,0,0,0,0,0
