Dataset,MajorityClass,Forest,Bareland,Water,Cropland,Built-up,Grassland,Shrubland,Wetland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LDK_M_R,Grassland,115,9,7,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDK_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDK_M_R,Bareland,38,0,24,0,1,100,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDK_M_R,Forest,0,105,170,5,2,501,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDK_M_R,Water,450,192,0,1,0,499,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDK_M_R,Cropland,12,2,0,0,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDK_M_R,Wetland,34,11,35,3,0,40,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDK_M_R,Built-up,11,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDK_M_R,Grassland,34,59,42,0,0,0,11,53,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDK_M_R,Non_Wetland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDK_M_R,Bareland,74,0,65,0,0,72,0,58,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDK_M_R,Forest,0,83,336,0,0,351,12,385,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDK_M_R,Water,317,43,0,0,0,277,0,304,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDK_M_R,Cropland,9,3,3,0,0,12,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDK_M_R,Wetland,2,0,6,0,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDK_M_R,Built-up,0,11,2,0,0,5,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDK_M_R,Grassland,0,0,22,0,0,0,0,20,61,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDK_M_R,Cropland,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDK_M_R,Water,0,0,0,0,0,0,0,256,159,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDK_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDK_M_R,Forest,0,0,112,0,0,0,0,210,402,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDK_M_R,Bareland,0,0,34,0,0,0,0,41,40,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDK_M_R,Wetland,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDK_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDK_M_R,Forest,0,387,347,0,0,539,0,94,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDK_M_R,Grassland,9,89,50,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDK_M_R,Water,37,356,0,0,0,257,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDK_M_R,Cropland,1,10,11,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDK_M_R,Wetland,4,18,45,0,0,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDK_M_R,Bareland,0,0,146,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDK_M_R,Built-up,0,7,4,0,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDK_M_R,Grassland,112,30,22,109,35,0,28,20,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDK_M_R,Water,221,153,0,161,84,112,60,256,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDK_M_R,Bareland,19,0,34,44,32,14,15,41,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDK_M_R,Forest,0,179,112,215,135,130,79,210,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDK_M_R,Built-up,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDK_M_R,Cropland,2,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDK_M_R,Wetland,2,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDK_M_R,Water,0,0,0,0,0,0,0,0,0,0,389,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDK_M_R,Grassland,0,0,64,0,0,0,0,0,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDK_M_R,Cropland,0,0,6,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDK_M_R,Wetland,0,0,30,0,0,0,0,0,0,0,41,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDK_M_R,Bareland,0,0,90,0,0,0,0,0,0,0,105,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDK_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDK_M_R,Forest,0,0,406,0,0,0,0,0,0,0,308,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDK_M_R,Grassland,83,7,80,20,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDK_M_R,Forest,0,15,369,14,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDK_M_R,Water,172,104,0,4,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDK_M_R,Bareland,30,0,51,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDK_M_R,Wetland,46,10,34,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDK_M_R,Cropland,3,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDK_M_R,Forest,0,14,51,30,0,27,0,2,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDK_M_R,Bareland,20,0,1,4,0,1,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDK_M_R,Wetland,70,12,12,11,0,3,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDK_M_R,Water,498,297,0,40,0,15,0,2,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDK_M_R,Grassland,117,22,35,23,0,0,0,5,0,0,0,7
