Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NFH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NFH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NFH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NFH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NFH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NFH_M_R
0,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Water
2,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Wetland
3,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Water
4,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
5,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
6,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
7,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
8,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
9,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
10,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
11,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
12,Wetland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Wetland
13,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
14,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Water,Wetland
15,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
16,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
17,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
18,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
19,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
20,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
21,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest,Wetland,Wetland
22,Wetland,Wetland,Wetland,Water,Wetland,NULL,Wetland,Wetland
23,Wetland,Wetland,Wetland,Water,Wetland,NULL,Wetland,Water
24,Wetland,Wetland,Wetland,Water,Wetland,NULL,Water,Wetland
25,Wetland,Wetland,Wetland,Water,Wetland,NULL,Water,Water
26,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
27,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
28,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
29,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
30,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
31,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
32,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
33,Wetland,Wetland,Wetland,Water,Wetland,Forest,Water,Wetland
34,Wetland,Wetland,Water,NULL,Water,Water,Wetland,Water
35,Wetland,Wetland,Water,NULL,Water,Water,Water,Wetland
36,Wetland,Wetland,Water,NULL,Water,Water,Water,Water
37,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Wetland
38,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
39,Wetland,Wetland,Water,Water,Water,NULL,Wetland,Wetland
