Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R,Shrubland,245,121,30,75,39,31,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R,Non_Wetland,10,11,3,13,1,1,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R,Grassland,0,322,134,174,65,77,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R,Forest,884,0,132,413,118,61,100,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R,Cropland,531,274,0,19,132,108,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R,Wetland,556,347,4,0,2,10,91,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R,Bareland,219,89,35,8,51,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R,Built-up,223,116,44,0,0,73,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R,Water,677,629,19,513,4,154,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDP_M_R,Permanent_ice_and_snow,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,Non_Wetland,14,5,0,17,0,1,1,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,Shrubland,99,33,0,89,8,17,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,Grassland,0,157,0,371,26,63,52,190,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,Cropland,545,156,0,215,88,89,15,132,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,Wetland,202,287,0,0,0,4,161,408,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,Bareland,163,22,0,59,43,0,9,32,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,Built-up,125,20,0,35,0,73,5,48,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,Water,676,310,0,441,16,10,0,220,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,Forest,1036,0,0,799,19,111,278,592,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDP_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDP_M_R,Wetland,0,0,0,0,0,0,91,0,836,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDP_M_R,Shrubland,0,0,0,0,0,0,0,0,257,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDP_M_R,Grassland,0,0,0,59,0,0,70,0,781,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDP_M_R,Forest,0,0,0,345,0,0,187,0,1560,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDP_M_R,Water,0,0,0,339,0,0,0,0,635,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDP_M_R,Bareland,0,0,0,5,0,0,33,0,80,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDP_M_R,Built-up,0,0,0,0,0,0,17,0,53,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDP_M_R,Cropland,0,0,0,1,0,0,11,0,332,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,Grassland,0,100,161,235,45,285,59,296,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,Non_Wetland,7,2,3,19,0,3,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDP_M_R,Wetland,235,125,16,0,1,116,218,502,0,0,0
