Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Cropland,Non_Water,Shrubland,Wetland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R,Shrubland,3,3,1,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R,Grassland,0,8,4,5,13,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R,Cropland,34,12,11,14,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R,Wetland,23,19,0,47,23,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R,Bareland,63,0,0,61,53,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R,Built-up,11,5,0,7,10,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R,Water,123,101,4,0,118,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R,Forest,80,50,19,55,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R,Permanent_ice_and_snow,10,5,0,3,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R,Shrubland,0,0,0,3,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R,Grassland,0,0,0,11,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R,Cropland,0,0,0,4,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R,Wetland,0,0,0,27,0,0,22,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R,Bareland,0,0,0,72,0,0,52,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R,Water,0,0,0,0,0,0,158,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R,Forest,0,0,0,88,0,0,59,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRT_M_R,Water,46,48,4,0,92,54,0,118,58,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRT_M_R,Cropland,5,2,3,1,23,0,0,40,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRT_M_R,Wetland,1,0,0,0,16,2,0,19,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRT_M_R,Bareland,28,0,1,15,54,33,0,82,24,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRT_M_R,Built-up,6,4,0,0,10,6,0,15,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRT_M_R,Forest,30,32,8,20,0,43,0,91,27,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRT_M_R,Grassland,0,3,0,1,16,8,0,25,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRT_M_R,Permanent_ice_and_snow,1,1,0,0,9,3,0,12,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRT_M_R,Grassland,0,5,7,13,15,12,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRT_M_R,Built-up,0,0,0,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRT_M_R,Forest,0,32,25,59,0,19,0,0,20,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRT_M_R,Water,0,95,12,0,77,6,0,0,30,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRT_M_R,Wetland,0,14,3,21,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRT_M_R,Cropland,0,2,14,9,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRT_M_R,Bareland,0,0,10,46,30,6,0,0,21,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRT_M_R,Permanent_ice_and_snow,0,1,2,9,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRT_M_R,Wetland,0,0,0,0,0,0,0,0,0,38,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRT_M_R,Water,0,0,0,0,0,0,0,0,58,25,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRT_M_R,Forest,0,0,0,20,0,0,0,0,27,30,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRT_M_R,Bareland,0,0,0,15,0,0,0,0,24,21,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRT_M_R,Grassland,0,0,0,1,0,0,0,0,2,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRT_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRT_M_R,Water,12,84,0,0,66,26,0,0,21,0,43
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRT_M_R,Wetland,1,22,0,14,11,1,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRT_M_R,Forest,16,35,0,28,0,23,0,0,11,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRT_M_R,Built-up,3,4,0,5,6,6,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRT_M_R,Grassland,0,5,0,5,6,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRT_M_R,Bareland,0,0,0,22,8,3,0,0,1,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRT_M_R,Cropland,0,0,0,2,2,0,0,0,0,0,0
