Dataset,MajorityClass,Wetland,Grassland,Water,Bareland,Forest,Non_Wetland,Cropland,Built-up,Shrubland,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHP_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHP_M_R,Forest,139,67,91,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHP_M_R,Wetland,0,10,20,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHP_M_R,Built-up,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHP_M_R,Water,114,18,0,9,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHP_M_R,Bareland,1,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,Non_Wetland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,Wetland,0,2,20,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,Forest,213,37,124,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,Water,163,0,0,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,Bareland,3,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,Grassland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R,Non_Wetland,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R,Wetland,0,31,32,1,59,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R,Built-up,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R,Water,13,66,0,12,147,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R,Grassland,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R,Bareland,0,2,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R,Forest,0,43,84,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHP_M_R,Wetland,0,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHP_M_R,Forest,94,0,36,0,0,248,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHP_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHP_M_R,Water,140,0,0,0,0,104,0,0,0,0
