Dataset,MajorityClass,Non_Wetland,Wetland,Water,Bareland,Built-up,Forest,Shrubland,Grassland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPG_M_R,Grassland,345,18,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPG_M_R,Wetland,361,0,66,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPG_M_R,Shrubland,41,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPG_M_R,Forest,711,140,68,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPG_M_R,Bareland,90,19,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPG_M_R,Water,397,323,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPG_M_R,Cropland,22,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPG_M_R,Built-up,58,6,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPG_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPG_M_R,Grassland,0,286,35,25,12,54,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPG_M_R,Shrubland,0,24,4,1,1,9,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPG_M_R,Wetland,0,0,271,2,0,45,9,72,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPG_M_R,Bareland,0,89,39,0,12,10,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPG_M_R,Forest,0,600,243,24,2,0,31,149,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPG_M_R,Water,0,668,0,14,9,24,1,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPG_M_R,Cropland,0,19,1,0,3,6,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPG_M_R,Built-up,0,51,1,19,0,2,0,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPG_M_R,Permanent_ice_and_snow,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPG_M_R,Grassland,0,93,45,43,5,8,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPG_M_R,Shrubland,0,16,6,12,1,2,0,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPG_M_R,Wetland,0,0,311,27,1,36,11,239,15,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPG_M_R,Forest,0,257,159,75,2,0,31,360,41,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPG_M_R,Water,0,344,0,14,4,55,16,288,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPG_M_R,Cropland,0,3,0,13,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPG_M_R,Built-up,0,11,3,26,0,2,3,40,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPG_M_R,Bareland,0,9,49,0,6,0,1,44,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPG_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPG_M_R,Wetland,0,0,104,13,20,427,0,479,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPG_M_R,Shrubland,0,1,0,1,3,20,0,31,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPG_M_R,Grassland,0,13,0,0,12,75,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPG_M_R,Bareland,0,2,19,0,1,30,0,75,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPG_M_R,Built-up,0,0,1,9,0,39,0,92,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPG_M_R,Water,0,180,0,23,4,570,0,439,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPG_M_R,Forest,0,21,61,5,11,0,0,279,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPG_M_R,Cropland,0,0,0,3,0,5,0,20,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPG_M_R,Grassland,0,18,3,0,48,96,198,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPG_M_R,Forest,0,140,68,5,11,0,260,163,19,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPG_M_R,Wetland,0,0,66,0,13,106,168,71,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPG_M_R,Bareland,0,19,3,0,15,25,82,15,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPG_M_R,Built-up,0,6,2,0,0,16,50,4,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPG_M_R,Water,0,323,0,0,4,274,217,105,30,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPG_M_R,Cropland,0,0,0,0,6,3,19,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPG_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPG_M_R,Grassland,0,0,123,0,0,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPG_M_R,Shrubland,0,0,5,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPG_M_R,Wetland,0,0,387,0,0,0,0,0,0,175,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPG_M_R,Forest,0,0,190,0,0,0,0,0,0,84,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPG_M_R,Built-up,0,0,11,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPG_M_R,Water,0,0,0,0,0,0,0,0,0,281,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPG_M_R,Cropland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPG_M_R,Bareland,0,0,41,0,0,0,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPG_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPG_M_R,Grassland,0,6,15,12,60,64,0,0,50,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPG_M_R,Wetland,0,0,133,57,50,205,0,0,31,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPG_M_R,Bareland,0,1,4,0,9,8,0,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPG_M_R,Built-up,0,0,0,1,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPG_M_R,Forest,0,78,116,11,68,0,0,0,18,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPG_M_R,Water,0,166,0,169,15,218,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPG_M_R,Shrubland,0,0,1,0,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPG_M_R,Wetland,0,0,184,141,0,364,0,77,41,0,23
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPG_M_R,Forest,0,25,53,29,0,0,0,21,29,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPG_M_R,Water,0,73,0,275,0,310,0,42,28,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPG_M_R,Built-up,0,0,1,19,0,10,0,6,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPG_M_R,Shrubland,0,0,0,1,0,5,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPG_M_R,Grassland,0,18,16,52,0,102,0,0,37,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPG_M_R,Bareland,0,0,2,0,0,0,0,0,0,0,0
