Dataset,MajorityClass,Forest,Water,Wetland,Grassland,Built-up,Bareland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MUR_M_R,Grassland,157,1,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUR_M_R,Non_Wetland,10,0,0,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUR_M_R,Wetland,477,62,0,614,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUR_M_R,Bareland,25,0,0,62,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUR_M_R,Water,595,0,286,647,1,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUR_M_R,Shrubland,17,0,0,18,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUR_M_R,Cropland,8,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUR_M_R,Built-up,54,0,0,75,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUR_M_R,Forest,0,68,40,424,6,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUR_M_R,Non_Wetland,2,3,7,3,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUR_M_R,Grassland,42,62,148,0,1,58,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUR_M_R,Wetland,61,260,0,178,2,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUR_M_R,Bareland,5,21,8,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUR_M_R,Forest,0,320,527,328,5,128,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUR_M_R,Water,197,0,479,237,9,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUR_M_R,Shrubland,3,5,8,5,1,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUR_M_R,Cropland,1,3,5,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUR_M_R,Built-up,9,18,23,18,0,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUR_M_R,Non_Wetland,0,2,13,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUR_M_R,Forest,0,267,618,364,8,225,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUR_M_R,Grassland,3,20,163,0,4,97,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUR_M_R,Water,52,0,599,84,12,98,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUR_M_R,Shrubland,0,2,16,8,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUR_M_R,Wetland,22,263,0,178,0,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUR_M_R,Cropland,0,0,3,5,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUR_M_R,Bareland,0,7,12,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUR_M_R,Built-up,0,1,31,23,0,67,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUR_M_R,Grassland,0,3,60,0,0,0,0,317,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUR_M_R,Wetland,0,68,0,0,0,0,0,461,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUR_M_R,Forest,0,91,204,0,0,0,0,1015,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUR_M_R,Water,0,0,296,0,0,0,0,611,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUR_M_R,Shrubland,0,0,0,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUR_M_R,Cropland,0,0,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUR_M_R,Bareland,0,0,2,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUR_M_R,Built-up,0,0,3,0,0,0,0,52,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUR_M_R,Grassland,0,129,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUR_M_R,Wetland,0,428,0,0,0,0,0,0,166,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUR_M_R,Bareland,0,13,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUR_M_R,Shrubland,0,6,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUR_M_R,Built-up,0,13,0,0,0,0,0,0,0,0,0,0
