Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NGF_M_R,Shrubland,3,1,2,1,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGF_M_R,Grassland,0,1,6,2,1,11,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGF_M_R,Cropland,12,0,0,2,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGF_M_R,Wetland,37,0,0,2,0,25,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGF_M_R,Bareland,14,0,0,0,0,5,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGF_M_R,Built-up,6,0,0,3,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGF_M_R,Water,60,0,24,20,0,49,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGF_M_R,Forest,54,2,21,18,1,0,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGF_M_R,Permanent_ice_and_snow,2,0,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGF_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGF_M_R,Grassland,0,0,6,0,0,0,2,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGF_M_R,Forest,0,0,23,0,0,0,11,41,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGF_M_R,Wetland,0,0,0,0,0,0,1,19,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGF_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGF_M_R,Water,0,0,34,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGF_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGF_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGF_M_R,Grassland,0,0,0,0,0,0,17,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGF_M_R,Wetland,0,0,0,0,0,0,26,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGF_M_R,Water,0,0,0,0,0,0,0,0,37,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGF_M_R,Forest,0,0,0,0,0,0,42,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGF_M_R,Bareland,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGF_M_R,Water,34,0,34,8,6,33,0,0,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGF_M_R,Wetland,9,1,0,0,0,6,1,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGF_M_R,Bareland,10,1,1,0,2,2,0,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGF_M_R,Built-up,5,2,1,3,0,3,0,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGF_M_R,Forest,41,10,23,18,17,0,11,0,0,34,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGF_M_R,Grassland,0,3,6,1,1,8,2,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGF_M_R,Cropland,3,0,0,2,0,4,0,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGF_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGF_M_R,Grassland,0,1,5,3,2,11,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGF_M_R,Water,0,0,26,5,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGF_M_R,Forest,0,0,20,2,13,0,39,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGF_M_R,Wetland,0,0,0,1,5,7,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGF_M_R,Bareland,0,0,0,0,1,1,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGF_M_R,Cropland,0,0,0,1,0,3,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGF_M_R,Wetland,9,4,0,2,0,28,19,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGF_M_R,Water,6,5,9,12,0,53,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGF_M_R,Forest,6,6,3,4,0,0,9,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGF_M_R,Grassland,0,5,3,6,0,10,3,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGF_M_R,Bareland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGF_M_R,Built-up,0,0,0,0,0,2,0,0,0,0,0
