Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Bareland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R,Shrubland,129,71,17,7,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R,Non_Wetland,8,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R,Forest,773,0,217,100,70,39,63,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R,Grassland,0,194,98,28,24,12,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R,Cropland,626,369,0,146,124,11,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R,Wetland,109,82,1,0,2,0,22,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R,Bareland,228,95,44,49,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R,Built-up,228,124,97,0,51,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R,Water,511,462,20,4,66,84,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWG_M_R,Non_Wetland,1,2,0,0,0,9,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWG_M_R,Shrubland,31,15,0,3,13,19,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWG_M_R,Grassland,0,83,0,21,90,108,28,52,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWG_M_R,Cropland,402,265,0,119,167,167,14,191,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWG_M_R,Bareland,82,54,0,24,0,23,13,22,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWG_M_R,Water,174,155,0,1,41,230,0,52,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWG_M_R,Forest,493,0,0,53,170,494,165,310,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWG_M_R,Wetland,41,17,0,1,3,0,10,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWG_M_R,Built-up,56,45,0,0,90,19,3,35,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,Grassland,0,25,86,20,196,67,32,76,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,Non_Wetland,2,0,1,0,1,6,2,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,Forest,551,0,211,35,581,351,209,453,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,Wetland,33,2,2,0,24,0,55,24,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,Shrubland,27,1,15,5,29,13,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,Bareland,28,1,83,7,0,5,5,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,Cropland,357,61,0,94,434,43,51,114,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,Built-up,99,4,72,0,162,12,6,29,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,Water,137,62,17,8,243,207,0,109,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWG_M_R,Grassland,0,0,0,0,0,21,37,0,181,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWG_M_R,Wetland,0,0,0,0,0,0,4,0,71,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWG_M_R,Forest,0,0,0,0,0,178,138,0,717,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWG_M_R,Bareland,0,0,0,0,0,0,16,0,29,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWG_M_R,Shrubland,0,0,0,0,0,0,0,0,34,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWG_M_R,Water,0,0,0,0,0,180,0,0,253,0,0
