Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Built-up,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R,Shrubland,146,82,40,13,18,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R,Grassland,0,206,151,47,23,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R,Non_Wetland,6,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R,Forest,719,0,240,96,127,82,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R,Cropland,549,378,0,138,127,4,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R,Wetland,74,89,0,4,2,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R,Bareland,148,57,58,0,22,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R,Built-up,156,97,80,49,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R,Water,335,280,41,99,2,128,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYF_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,Non_Wetland,2,1,0,0,0,7,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,Shrubland,51,29,0,25,5,29,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,Grassland,0,120,0,78,20,119,7,109,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,Cropland,472,273,0,197,113,152,3,286,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,Wetland,23,8,0,1,0,0,53,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,Bareland,85,35,0,0,14,11,4,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,Built-up,58,20,0,82,0,8,0,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,Forest,577,0,0,171,28,556,124,402,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYF_M_R,Water,146,70,0,23,1,235,0,38,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,Grassland,0,40,113,195,21,66,23,156,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,Non_Wetland,1,0,0,1,0,7,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,Forest,571,0,196,514,27,419,193,526,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,Wetland,32,7,0,9,0,0,102,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,Shrubland,45,6,19,51,7,18,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,Bareland,49,1,33,0,0,6,4,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,Cropland,464,54,0,506,117,49,12,196,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,Built-up,108,3,37,157,0,3,0,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,Water,126,35,12,120,9,236,0,46,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYF_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYF_M_R,Grassland,0,0,0,0,0,16,26,0,190,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYF_M_R,Wetland,0,0,0,0,0,0,24,0,140,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYF_M_R,Forest,0,0,0,0,0,123,125,0,862,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYF_M_R,Water,0,0,0,0,0,115,0,0,243,0,0,0
