Dataset,MajorityClass,Grassland,Wetland,Forest,Bareland,Water,Built-up,Cropland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R,Shrubland,54,66,60,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R,Non_Wetland,1,14,6,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R,Grassland,0,283,167,32,23,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R,Wetland,247,0,403,3,215,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R,Water,78,342,273,13,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R,Forest,223,437,0,14,165,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R,Cropland,78,70,68,18,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R,Bareland,3,16,3,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWA_M_R,Built-up,0,4,8,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWA_M_R,Shrubland,0,0,0,0,0,0,0,101,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWA_M_R,Wetland,0,0,0,0,76,0,0,676,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWA_M_R,Grassland,0,94,0,0,31,0,0,504,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWA_M_R,Forest,0,237,0,0,103,0,0,962,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWA_M_R,Water,0,238,0,0,0,0,0,252,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWA_M_R,Cropland,0,4,0,0,1,0,0,139,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWA_M_R,Bareland,0,7,0,0,0,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWA_M_R,Built-up,0,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,Shrubland,49,15,15,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,Non_Wetland,10,3,3,0,4,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,Grassland,0,95,42,0,33,0,0,0,49,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,Wetland,724,0,86,0,343,0,0,0,75,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,Water,418,187,105,0,0,0,0,0,24,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,Forest,741,281,0,0,204,0,0,0,242,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,Cropland,157,30,29,0,6,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,Bareland,45,2,2,0,1,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWA_M_R,Built-up,20,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,Grassland,0,188,26,3,134,0,0,0,77,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,Non_Wetland,6,6,4,0,2,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,Wetland,527,0,77,0,395,0,0,0,115,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,Forest,587,408,0,1,242,0,0,0,316,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,Water,281,250,79,1,0,0,0,0,17,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,Shrubland,31,28,5,0,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,Cropland,88,55,11,1,52,0,0,0,35,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,Bareland,18,5,1,0,27,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWA_M_R,Built-up,10,2,0,4,3,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWA_M_R,Grassland,0,0,0,0,72,0,0,0,0,59,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWA_M_R,Wetland,0,0,0,0,258,0,0,0,0,297,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWA_M_R,Forest,0,0,0,0,155,0,0,0,0,141,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWA_M_R,Shrubland,0,0,0,0,4,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWA_M_R,Water,0,0,0,0,0,0,0,0,0,288,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWA_M_R,Cropland,0,0,0,0,1,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWA_M_R,Bareland,0,0,0,0,2,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWA_M_R,Grassland,0,94,128,16,31,37,232,0,258,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWA_M_R,Wetland,12,0,211,36,76,4,113,0,158,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWA_M_R,Water,0,238,205,29,0,2,78,0,101,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWA_M_R,Forest,73,237,0,51,103,23,221,0,291,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWA_M_R,Shrubland,3,0,2,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWA_M_R,Cropland,0,4,5,0,1,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWA_M_R,Bareland,0,7,2,0,0,3,23,0,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWA_M_R,Built-up,0,0,0,0,0,0,4,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWA_M_R,Grassland,0,61,164,1,18,35,122,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWA_M_R,Shrubland,0,1,21,0,0,5,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWA_M_R,Wetland,0,0,242,2,144,4,67,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWA_M_R,Forest,0,165,0,0,201,26,41,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWA_M_R,Water,0,158,96,5,0,7,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWA_M_R,Cropland,0,2,16,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWA_M_R,Bareland,0,0,6,0,3,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWA_M_R,Shrubland,14,1,47,9,0,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWA_M_R,Forest,43,45,0,12,69,0,53,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWA_M_R,Wetland,186,0,513,61,210,0,115,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWA_M_R,Water,40,66,355,24,0,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWA_M_R,Grassland,0,19,138,59,26,0,75,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWA_M_R,Built-up,0,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWA_M_R,Cropland,0,0,10,6,3,0,0,0,0,0,0,0
