Dataset,MajorityClass,Grassland,Forest,Water,Built-up,Bareland,Wetland,Cropland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MBR_M_R,Bareland,14,17,33,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBR_M_R,Water,236,266,0,3,6,24,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBR_M_R,Shrubland,9,13,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBR_M_R,Built-up,50,50,10,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBR_M_R,Grassland,0,30,10,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBR_M_R,Cropland,42,25,6,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBR_M_R,Wetland,109,88,107,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBR_M_R,Forest,322,0,192,9,8,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBR_M_R,Bareland,0,0,8,15,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBR_M_R,Shrubland,2,0,0,2,2,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBR_M_R,Water,18,65,0,15,5,129,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBR_M_R,Grassland,0,0,1,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBR_M_R,Wetland,3,1,16,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBR_M_R,Forest,81,0,157,36,52,274,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBR_M_R,Built-up,4,0,2,0,17,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBR_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBR_M_R,Shrubland,0,0,7,1,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBR_M_R,Built-up,0,0,22,0,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBR_M_R,Forest,69,0,433,39,163,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBR_M_R,Grassland,0,0,19,0,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBR_M_R,Cropland,0,0,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBR_M_R,Wetland,10,6,47,0,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBR_M_R,Water,7,41,0,14,99,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBR_M_R,Bareland,0,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBR_M_R,Shrubland,0,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBR_M_R,Water,0,0,0,0,0,254,0,65,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBR_M_R,Grassland,0,0,6,0,0,11,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBR_M_R,Forest,0,0,93,0,0,212,0,276,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBR_M_R,Wetland,0,0,7,0,0,0,0,31,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBR_M_R,Bareland,0,0,14,0,0,24,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBR_M_R,Built-up,0,0,9,0,0,0,0,4,0,0,0,0
