Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KPU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Forest
222,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Cropland
224,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
236,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
237,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
238,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Water
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Bareland
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
261,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
262,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
263,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
264,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
265,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
266,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Built-up
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Water
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Forest
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
330,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
331,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
