Dataset,MajorityClass,Shrubland,Wetland,Bareland,Forest,Water,Built-up,Grassland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,Grassland,19,152,61,24,29,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,Non_Wetland,0,4,0,1,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,Bareland,0,14,0,2,35,1,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,Water,0,501,66,133,0,0,166,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,Forest,6,489,186,0,241,2,283,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,Shrubland,0,1,0,2,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,Cropland,0,27,9,4,3,0,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,Wetland,0,0,48,23,142,2,63,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,Built-up,9,18,72,2,8,0,28,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R,Grassland,0,0,9,89,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R,Non_Wetland,0,0,0,3,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R,Wetland,0,0,9,191,180,0,369,5,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R,Bareland,0,0,0,38,30,0,40,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R,Water,0,44,21,342,0,0,505,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R,Shrubland,0,0,0,1,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R,Cropland,0,0,1,32,1,0,38,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R,Built-up,0,0,6,66,3,0,89,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R,Forest,0,1,4,0,154,5,399,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGM_M_R,Grassland,0,36,0,0,15,0,0,0,224,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGM_M_R,Wetland,0,0,0,0,12,0,0,0,60,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGM_M_R,Forest,0,244,0,0,87,0,0,0,736,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGM_M_R,Water,0,401,0,0,0,0,0,0,312,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGM_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGM_M_R,Cropland,0,0,0,0,0,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGM_M_R,Bareland,0,46,0,0,5,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGM_M_R,Built-up,0,8,0,0,1,0,0,0,43,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,Non_Wetland,0,3,0,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,Forest,0,484,194,0,178,43,376,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,Grassland,0,117,65,0,40,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,Water,0,406,174,33,0,9,222,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,Shrubland,0,2,0,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,Cropland,0,10,23,0,10,5,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,Wetland,0,0,79,7,124,5,121,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,Bareland,0,8,0,0,20,1,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,Built-up,0,27,35,0,8,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGM_M_R,Grassland,0,0,0,0,156,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGM_M_R,Wetland,0,0,0,0,378,0,0,0,0,92,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGM_M_R,Cropland,0,0,0,0,16,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGM_M_R,Bareland,0,0,0,0,63,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGM_M_R,Built-up,0,0,0,0,44,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGM_M_R,Forest,0,0,0,0,396,0,0,0,0,95,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGM_M_R,Water,0,0,0,0,0,0,0,0,0,163,0
