Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R,Shrubland,120,80,25,15,20,43,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R,Grassland,0,489,140,166,154,127,58,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R,Non_Wetland,4,7,10,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R,Bareland,381,209,10,69,0,111,56,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R,Forest,950,0,281,168,143,192,118,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R,Cropland,442,348,4,0,102,116,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R,Built-up,333,255,7,62,122,0,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R,Water,516,640,244,4,219,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R,Wetland,221,282,0,2,27,13,71,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKQ_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,Non_Wetland,7,7,5,0,0,0,1,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,Shrubland,74,39,10,0,21,20,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,Grassland,0,308,96,0,133,90,65,119,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,Cropland,520,247,12,0,134,84,7,30,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,Wetland,269,204,0,0,9,3,143,31,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,Bareland,296,154,7,0,0,105,107,16,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,Built-up,193,89,9,0,151,0,28,62,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,Water,614,275,82,0,72,47,0,35,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,Forest,1022,0,214,0,222,174,204,358,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKQ_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0
