Dataset,MajorityClass,Cropland,Bareland,Built-up,Water,Forest,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R,Grassland,168,120,150,120,559,266,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R,Non_Wetland,1,0,0,1,5,3,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R,Bareland,18,0,80,32,200,0,380,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R,Built-up,99,142,0,59,271,6,355,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R,Water,59,337,82,0,1129,470,1378,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R,Forest,231,202,191,377,0,445,1263,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R,Wetland,32,17,18,160,385,0,535,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R,Non_Water,0,1,0,1,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R,Shrubland,5,4,10,3,40,9,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R,Cropland,0,205,203,91,522,46,716,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUE_M_R,Permanent_ice_and_snow,0,1,0,0,2,0,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,Non_Wetland,0,0,0,0,0,10,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,Grassland,0,108,99,236,155,456,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,Bareland,0,0,65,176,42,28,202,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,Built-up,0,136,0,85,53,79,213,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,Forest,0,154,137,469,0,1201,961,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,Non_Water,0,0,0,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,Water,0,95,96,0,197,970,707,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,Shrubland,0,6,5,13,2,13,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,Cropland,0,193,131,141,221,282,632,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,Wetland,0,6,0,167,22,0,151,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUE_M_R,Permanent_ice_and_snow,0,6,0,1,2,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUE_M_R,Wetland,0,0,0,20,0,0,0,0,1022,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUE_M_R,Grassland,0,0,0,46,0,113,0,0,1059,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUE_M_R,Forest,0,0,0,139,0,265,0,0,1897,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUE_M_R,Water,0,0,0,0,0,425,0,0,1214,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUE_M_R,Shrubland,0,0,0,0,0,0,0,0,29,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUE_M_R,Cropland,0,0,0,8,0,13,0,0,405,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUE_M_R,Built-up,0,0,0,5,0,11,0,0,95,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUE_M_R,Bareland,0,0,0,4,0,19,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUE_M_R,Non_Wetland,0,2,1,0,2,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUE_M_R,Forest,84,350,145,367,0,378,759,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUE_M_R,Grassland,63,223,104,153,343,111,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUE_M_R,Bareland,0,0,50,6,43,0,86,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUE_M_R,Water,3,348,76,0,356,347,243,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUE_M_R,Shrubland,1,21,3,4,11,6,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUE_M_R,Built-up,1,198,0,20,41,6,192,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUE_M_R,Wetland,3,45,2,183,170,0,121,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUE_M_R,Cropland,0,271,172,56,349,43,466,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUE_M_R,Permanent_ice_and_snow,0,7,0,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUE_M_R,Grassland,0,0,0,469,0,0,0,0,0,184,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUE_M_R,Water,0,0,0,0,0,0,0,0,0,819,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUE_M_R,Shrubland,0,0,0,10,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUE_M_R,Bareland,0,0,0,64,0,0,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUE_M_R,Cropland,0,0,0,138,0,0,0,0,0,52,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUE_M_R,Built-up,0,0,0,59,0,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUE_M_R,Wetland,0,0,0,269,0,0,0,0,0,208,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUE_M_R,Forest,0,0,0,659,0,0,0,0,0,305,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUE_M_R,Grassland,749,111,225,46,452,113,0,706,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUE_M_R,Wetland,158,25,20,20,211,0,62,289,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUE_M_R,Bareland,376,0,198,4,94,19,24,232,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUE_M_R,Built-up,278,12,0,5,95,11,69,200,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUE_M_R,Water,775,309,267,0,571,425,145,941,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUE_M_R,Forest,807,175,235,139,0,265,382,961,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUE_M_R,Cropland,0,25,143,8,236,13,145,343,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUE_M_R,Permanent_ice_and_snow,13,0,4,0,6,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUE_M_R,Grassland,1054,23,354,296,291,216,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUE_M_R,Wetland,410,2,54,232,146,0,0,0,0,0,0,0
