Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Grassland,Wetland,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R,Grassland,49,1,6,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R,Non_Wetland,2,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R,Wetland,123,37,1,46,126,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R,Bareland,51,0,6,38,87,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R,Built-up,40,1,0,0,45,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R,Water,233,135,0,0,173,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R,Shrubland,17,6,7,1,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R,Forest,0,41,31,92,301,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R,Cropland,8,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,Non_Wetland,0,0,0,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,Forest,0,250,27,136,203,295,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,Grassland,7,53,9,10,0,74,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,Shrubland,0,8,3,9,6,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,Bareland,0,0,0,7,3,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,Water,24,236,0,0,16,195,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,Wetland,4,50,0,61,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,Built-up,0,32,0,0,15,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,Cropland,0,8,0,0,1,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,Non_Wetland,0,2,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,Grassland,27,59,9,4,0,60,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,Water,91,223,0,0,56,223,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,Shrubland,8,10,4,4,9,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,Bareland,14,0,0,4,10,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,Built-up,6,36,0,0,9,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,Forest,0,241,36,121,156,339,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,Wetland,10,60,0,65,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,Cropland,3,6,0,0,3,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCG_M_R,Grassland,0,0,0,1,0,17,0,117,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCG_M_R,Wetland,0,0,0,1,0,0,0,42,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCG_M_R,Forest,0,0,0,45,0,149,0,546,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCG_M_R,Shrubland,0,0,0,0,0,0,0,29,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCG_M_R,Bareland,0,0,0,23,0,19,0,56,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCG_M_R,Water,0,0,0,0,0,232,0,198,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCG_M_R,Built-up,0,0,0,0,0,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCG_M_R,Cropland,0,0,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCG_M_R,Bareland,0,0,0,36,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCG_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCG_M_R,Water,0,0,0,0,0,0,0,0,210,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCG_M_R,Wetland,0,0,0,21,0,0,0,0,68,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCG_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCG_M_R,Forest,0,0,0,72,0,0,0,0,86,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCG_M_R,Grassland,0,0,0,1,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCG_M_R,Grassland,73,0,3,1,0,17,0,0,0,138,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCG_M_R,Bareland,66,0,69,23,6,19,0,0,0,135,0
