Dataset,MajorityClass,Non_Wetland,Water,Wetland,Grassland,Forest,Cropland,Bareland,Built-up,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LML_M_R,Wetland,313,26,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LML_M_R,Grassland,160,3,22,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LML_M_R,Shrubland,14,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LML_M_R,Cropland,21,0,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LML_M_R,Bareland,27,1,44,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LML_M_R,Forest,411,46,157,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LML_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LML_M_R,Water,116,0,260,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LML_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LML_M_R,Non_Wetland,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LML_M_R,Grassland,0,1,48,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LML_M_R,Wetland,0,17,0,20,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LML_M_R,Shrubland,0,0,5,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LML_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LML_M_R,Bareland,0,9,9,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LML_M_R,Water,0,0,130,5,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LML_M_R,Forest,0,38,172,44,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R,Non_Wetland,0,0,0,1,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R,Shrubland,0,0,6,7,11,1,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R,Grassland,0,8,69,0,53,5,9,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R,Wetland,0,76,0,245,275,5,21,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R,Bareland,0,13,16,40,27,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R,Cropland,0,1,14,43,19,0,3,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R,Lichens_and_Mosses,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R,Built-up,0,0,0,13,6,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R,Water,0,0,163,158,270,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R,Forest,0,32,158,141,0,6,8,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LML_M_R,Permanent_ice_and_snow,0,1,3,5,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LML_M_R,Wetland,0,78,0,88,23,0,27,0,34,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LML_M_R,Non_Wetland,0,0,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LML_M_R,Shrubland,0,0,3,3,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LML_M_R,Grassland,0,2,35,0,0,0,3,0,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LML_M_R,Cropland,0,0,1,1,0,0,2,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LML_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LML_M_R,Bareland,0,16,3,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LML_M_R,Water,0,0,99,21,31,0,21,0,6,0,0,0
