Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Non_Water,Shrubland,Wetland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18NTF_M_R,Shrubland,3,1,3,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTF_M_R,Grassland,0,16,24,11,15,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTF_M_R,Cropland,46,0,29,16,21,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTF_M_R,Wetland,39,1,14,1,31,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTF_M_R,Bareland,90,12,0,11,73,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTF_M_R,Built-up,18,9,14,0,12,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTF_M_R,Water,160,11,155,5,0,157,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTF_M_R,Forest,107,26,87,29,72,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NTF_M_R,Permanent_ice_and_snow,9,1,7,0,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTF_M_R,Shrubland,0,0,0,0,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTF_M_R,Grassland,0,0,0,0,24,0,20,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTF_M_R,Cropland,0,0,0,0,13,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTF_M_R,Wetland,0,0,0,0,26,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTF_M_R,Bareland,0,0,0,0,98,0,73,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTF_M_R,Built-up,0,0,0,0,12,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTF_M_R,Water,0,0,0,0,0,0,189,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTF_M_R,Forest,0,0,0,0,114,0,72,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTF_M_R,Water,77,61,56,44,0,83,0,98,51,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTF_M_R,Cropland,34,0,10,21,0,42,0,57,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTF_M_R,Bareland,53,43,0,44,19,56,0,71,29,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTF_M_R,Built-up,12,6,8,0,1,15,0,18,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTF_M_R,Forest,65,53,44,50,22,0,0,92,37,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTF_M_R,Grassland,0,9,13,12,3,29,0,46,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTF_M_R,Wetland,1,0,1,0,0,5,0,7,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTF_M_R,Permanent_ice_and_snow,3,2,4,0,0,7,0,14,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTF_M_R,Grassland,0,32,23,29,25,37,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTF_M_R,Built-up,0,4,2,0,3,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTF_M_R,Water,0,23,114,54,0,106,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTF_M_R,Forest,0,38,63,56,66,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTF_M_R,Wetland,0,6,18,11,23,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTF_M_R,Cropland,0,0,13,23,10,20,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTF_M_R,Bareland,0,12,0,38,57,44,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTF_M_R,Permanent_ice_and_snow,0,3,3,0,9,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTF_M_R,Bareland,0,0,0,0,19,0,0,0,29,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTF_M_R,Built-up,0,0,0,0,1,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTF_M_R,Water,0,0,0,0,0,0,0,0,51,15,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTF_M_R,Forest,0,0,0,0,22,0,0,0,37,9,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTF_M_R,Grassland,0,0,0,0,3,0,0,0,6,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTF_M_R,Cropland,0,0,0,0,0,0,0,0,1,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTF_M_R,Wetland,0,0,0,0,0,0,0,0,0,14,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTF_M_R,Cropland,8,0,7,0,3,5,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTF_M_R,Wetland,7,4,20,0,17,22,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTF_M_R,Bareland,10,9,0,0,25,32,0,0,2,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTF_M_R,Water,29,24,89,0,0,83,0,0,13,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTF_M_R,Built-up,9,9,7,0,6,12,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTF_M_R,Forest,27,26,34,0,30,0,0,0,5,0,13
