Dataset,MajorityClass,Forest,Water,Grassland,Bareland,Built-up,Wetland,Shrubland,Non_Wetland,Cropland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_19MEM_M_R,Grassland,23,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEM_M_R,Water,188,0,72,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEM_M_R,Cropland,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEM_M_R,Wetland,29,31,31,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEM_M_R,Forest,0,108,86,9,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEM_M_R,Built-up,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEM_M_R,Bareland,2,6,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEM_M_R,Grassland,3,2,0,12,0,7,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEM_M_R,Water,63,0,14,6,0,224,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEM_M_R,Cropland,0,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEM_M_R,Forest,0,170,69,30,0,285,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEM_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEM_M_R,Wetland,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEM_M_R,Bareland,0,5,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEM_M_R,Forest,0,58,0,0,0,131,0,259,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEM_M_R,Grassland,0,0,0,0,0,6,0,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEM_M_R,Water,0,0,0,0,0,154,0,101,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEM_M_R,Bareland,0,0,0,0,0,7,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEM_M_R,Forest,0,159,213,61,0,50,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEM_M_R,Cropland,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEM_M_R,Wetland,2,18,22,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEM_M_R,Grassland,0,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEM_M_R,Built-up,0,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEM_M_R,Bareland,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEM_M_R,Water,38,0,106,76,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEM_M_R,Grassland,18,0,0,3,4,6,4,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEM_M_R,Forest,0,58,51,90,28,131,24,0,54,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEM_M_R,Built-up,1,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEM_M_R,Water,80,0,35,58,17,154,10,0,24,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEM_M_R,Bareland,0,0,0,0,0,7,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEM_M_R,Wetland,0,29,0,0,0,0,0,0,0,0,24
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEM_M_R,Forest,0,178,0,0,0,0,0,0,0,0,101
