Dataset,MajorityClass,Cropland,Forest,Built-up,Bareland,Water,Grassland,Wetland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R,Grassland,112,197,34,14,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R,Non_Wetland,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R,Bareland,17,35,18,0,12,67,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R,Built-up,130,210,0,125,38,266,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R,Forest,193,0,94,92,184,676,43,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R,Shrubland,3,8,2,0,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R,Cropland,0,401,163,186,71,585,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R,Wetland,5,198,2,4,119,230,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R,Water,58,474,37,172,0,378,47,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,Non_Wetland,0,1,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,Grassland,0,65,72,36,29,0,134,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,Cropland,0,144,276,295,107,318,127,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,Forest,0,0,140,151,313,238,471,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,Shrubland,0,2,2,3,0,6,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,Built-up,0,41,0,140,49,69,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,Bareland,0,3,24,0,48,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,Water,0,129,87,45,0,34,275,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,Wetland,0,18,0,0,91,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCV_M_R,Non_Wetland,0,0,0,0,0,0,3,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCV_M_R,Forest,95,0,93,77,107,183,534,32,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCV_M_R,Grassland,33,97,41,12,0,0,147,30,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCV_M_R,Shrubland,2,3,1,1,0,2,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCV_M_R,Cropland,0,188,192,184,12,238,179,29,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCV_M_R,Wetland,0,61,0,1,46,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCV_M_R,Built-up,54,48,0,152,1,100,45,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCV_M_R,Water,7,181,72,117,0,2,388,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCV_M_R,Bareland,4,6,6,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCV_M_R,Grassland,0,0,0,0,12,0,19,0,258,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCV_M_R,Wetland,0,0,0,0,13,0,0,0,308,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCV_M_R,Shrubland,0,0,0,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCV_M_R,Forest,0,0,0,0,101,0,166,0,887,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCV_M_R,Cropland,0,0,0,0,27,0,7,0,290,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCV_M_R,Bareland,0,0,0,0,12,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCV_M_R,Built-up,0,0,0,0,19,0,0,0,53,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCV_M_R,Water,0,0,0,0,0,0,213,0,418,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCV_M_R,Grassland,280,175,99,14,12,0,19,200,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCV_M_R,Built-up,224,90,0,8,19,28,0,112,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCV_M_R,Cropland,0,239,244,26,27,59,7,241,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCV_M_R,Wetland,49,128,2,10,13,2,0,38,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCV_M_R,Forest,530,0,186,96,101,156,166,297,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCV_M_R,Bareland,98,9,103,0,12,0,0,18,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCV_M_R,Water,363,339,126,111,0,41,213,64,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCV_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCV_M_R,Cropland,0,0,0,0,53,0,0,0,0,0,42
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCV_M_R,Wetland,0,0,0,0,34,0,0,0,0,0,148
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCV_M_R,Water,0,0,0,0,0,0,0,0,0,0,426
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCV_M_R,Forest,0,0,0,0,165,0,0,0,0,0,191
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCV_M_R,Built-up,0,0,0,0,17,0,0,0,0,0,19
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCV_M_R,Bareland,0,0,0,0,9,0,0,0,0,0,11
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCV_M_R,Grassland,0,0,0,0,9,0,0,0,0,0,27
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCV_M_R,Grassland,452,131,144,0,21,0,28,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCV_M_R,Bareland,119,7,95,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCV_M_R,Built-up,147,12,0,1,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCV_M_R,Forest,656,0,285,0,328,0,97,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCV_M_R,Wetland,128,48,5,0,75,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCV_M_R,Shrubland,6,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCV_M_R,Water,403,94,102,4,0,0,114,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCV_M_R,Cropland,0,64,201,1,22,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCV_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCV_M_R,Cropland,0,217,0,50,71,153,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCV_M_R,Wetland,9,242,0,0,131,88,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCV_M_R,Built-up,172,161,0,67,54,70,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCV_M_R,Forest,111,0,0,6,94,129,11,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCV_M_R,Water,45,365,0,22,0,32,61,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCV_M_R,Bareland,9,17,0,0,11,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCV_M_R,Grassland,83,134,0,7,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCV_M_R,Shrubland,0,5,0,0,0,0,0,0,0,0,0
