Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Built-up,Cropland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Shrubland,58,42,4,2,6,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Grassland,0,446,31,71,102,135,79,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Non_Wetland,7,4,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Bareland,202,61,0,0,29,18,26,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Built-up,310,242,2,88,0,58,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Water,1055,828,265,192,39,56,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Forest,1138,0,153,60,124,190,217,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Wetland,531,243,0,6,3,24,86,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Non_Water,2,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Cropland,643,329,15,124,132,0,43,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R,Permanent_ice_and_snow,3,3,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUF_M_R,Non_Wetland,0,0,12,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUF_M_R,Shrubland,16,6,12,5,4,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUF_M_R,Grassland,0,199,367,78,86,0,153,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUF_M_R,Bareland,82,18,5,0,35,0,56,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUF_M_R,Built-up,140,44,53,80,0,0,52,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUF_M_R,Water,464,177,764,35,95,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUF_M_R,Forest,627,0,855,77,152,0,317,173,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUF_M_R,Non_Water,1,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUF_M_R,Cropland,495,213,275,150,97,0,45,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUF_M_R,Wetland,66,6,0,22,9,0,125,0,0,0,0,0
