Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Wetland,Water,Cropland,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18MVU_M_R,Shrubland,2,1,1,2,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVU_M_R,Grassland,0,1,1,14,7,7,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVU_M_R,Cropland,61,8,3,34,3,25,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVU_M_R,Wetland,91,4,0,44,0,63,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVU_M_R,Bareland,29,0,0,22,6,35,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVU_M_R,Built-up,17,5,0,14,0,8,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVU_M_R,Water,111,20,9,66,45,0,10,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVU_M_R,Forest,101,26,8,0,21,48,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVU_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVU_M_R,Forest,0,0,0,0,45,16,0,61,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVU_M_R,Wetland,0,0,0,0,0,4,0,32,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVU_M_R,Bareland,0,0,0,0,15,7,0,8,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVU_M_R,Built-up,0,0,0,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVU_M_R,Water,0,0,0,0,55,0,0,22,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVU_M_R,Grassland,0,0,0,0,13,3,0,19,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVU_M_R,Cropland,0,0,0,0,15,1,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVU_M_R,Shrubland,0,0,0,0,0,1,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVU_M_R,Cropland,0,0,0,0,0,47,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVU_M_R,Wetland,0,0,0,0,0,91,0,0,46,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVU_M_R,Bareland,0,0,0,0,0,41,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVU_M_R,Built-up,0,0,0,0,0,10,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVU_M_R,Water,0,0,0,0,0,0,0,0,131,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVU_M_R,Forest,0,0,0,0,0,94,0,0,52,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVU_M_R,Grassland,0,0,0,0,0,31,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVU_M_R,Water,18,35,13,64,55,0,47,0,0,34
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVU_M_R,Cropland,13,10,3,42,15,1,0,0,0,32
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVU_M_R,Wetland,0,1,0,21,0,4,4,0,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVU_M_R,Bareland,5,0,10,24,15,7,27,0,0,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVU_M_R,Built-up,8,6,0,7,2,1,10,0,0,12
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVU_M_R,Forest,20,33,13,0,45,16,54,0,0,47
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVU_M_R,Grassland,0,6,1,27,13,3,22,0,0,17
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVU_M_R,Grassland,0,0,13,19,12,16,16,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVU_M_R,Wetland,0,18,20,41,0,39,16,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVU_M_R,Forest,0,12,30,0,42,47,33,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVU_M_R,Water,0,42,15,45,29,0,19,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVU_M_R,Bareland,0,0,1,10,0,19,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVU_M_R,Cropland,0,0,5,20,2,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVU_M_R,Water,40,47,0,71,18,0,54,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVU_M_R,Cropland,6,5,0,11,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVU_M_R,Wetland,32,19,0,50,0,28,35,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVU_M_R,Bareland,1,0,0,8,2,3,8,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVU_M_R,Forest,22,14,0,0,4,16,25,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVU_M_R,Grassland,0,3,0,6,0,1,7,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVU_M_R,Built-up,0,0,0,1,0,3,0,0,0,0
