Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R,Grassland,155,72,29,3,9,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R,Non_Wetland,2,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R,Wetland,231,0,44,0,25,0,337,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R,Bareland,19,11,0,4,0,0,95,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R,Shrubland,30,13,15,4,3,0,40,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R,Built-up,30,0,5,0,0,0,51,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R,Forest,0,37,22,0,26,0,359,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R,Water,393,188,114,0,0,0,251,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R,Cropland,34,8,2,1,0,0,106,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRH_M_R,Non_Wetland,1,6,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRH_M_R,Grassland,90,208,36,11,12,0,0,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRH_M_R,Wetland,37,0,1,0,63,0,187,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRH_M_R,Bareland,8,35,0,1,10,0,62,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRH_M_R,Forest,0,360,48,9,58,0,355,64,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRH_M_R,Shrubland,10,20,5,3,5,0,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRH_M_R,Water,60,282,3,0,0,0,190,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRH_M_R,Cropland,18,30,2,0,1,0,56,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRH_M_R,Built-up,6,4,15,0,0,0,13,0,0,0,0
