Dataset,MajorityClass,Forest,Cropland,Wetland,Built-up,Water,Bareland,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Grassland,143,77,33,44,5,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Non_Wetland,4,0,1,0,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Bareland,145,48,36,100,86,0,363,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Built-up,472,178,200,0,169,303,740,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Water,922,163,307,227,0,330,1213,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Forest,0,219,261,298,281,209,1609,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Cropland,307,0,49,96,34,120,647,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Wetland,391,86,0,47,159,25,721,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Non_Water,1,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Shrubland,12,8,6,7,0,6,47,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KLP_M_R,Permanent_ice_and_snow,1,0,0,0,2,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLP_M_R,Non_Wetland,2,0,10,1,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLP_M_R,Grassland,121,0,172,132,110,75,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLP_M_R,Cropland,121,0,153,385,68,131,113,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLP_M_R,Wetland,50,0,0,84,262,70,75,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLP_M_R,Bareland,22,0,9,166,133,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLP_M_R,Forest,0,0,773,587,628,365,297,0,0,0,0,0
