Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Built-up,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R,Shrubland,231,60,130,25,32,26,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R,Grassland,0,181,208,17,36,42,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R,Non_Wetland,6,0,9,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R,Bareland,192,93,124,2,33,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R,Forest,775,277,0,125,77,61,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R,Cropland,737,0,447,37,161,198,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R,Wetland,108,2,83,0,1,1,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R,Built-up,247,127,161,4,0,96,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R,Water,425,48,396,138,2,83,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R,Lichens_and_Mosses,0,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,Non_Wetland,2,0,2,10,0,1,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,Shrubland,70,0,34,38,11,45,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,Grassland,0,0,120,97,34,96,27,123,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,Cropland,607,0,311,149,213,371,38,403,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,Wetland,77,0,18,0,0,2,29,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,Bareland,120,0,39,6,69,0,20,46,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,Built-up,95,0,21,14,0,121,4,67,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,Water,385,0,80,159,22,62,0,87,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,Forest,695,0,0,455,62,350,118,612,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVE_M_R,Shrubland,0,0,0,0,0,0,0,0,98,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVE_M_R,Wetland,0,0,0,0,0,0,5,0,103,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVE_M_R,Grassland,0,0,0,37,0,0,36,0,220,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVE_M_R,Forest,0,0,0,217,0,0,166,0,864,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVE_M_R,Cropland,0,0,0,24,0,0,82,0,317,0,0,0
