Dataset,MajorityClass,Forest,Built-up,Wetland,Water,Bareland,Grassland,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NTB_M_R,Grassland,65,17,9,4,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTB_M_R,Shrubland,10,1,0,0,1,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTB_M_R,Wetland,151,0,0,114,13,182,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTB_M_R,Bareland,8,9,0,0,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTB_M_R,Water,244,0,60,0,42,191,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTB_M_R,Forest,0,14,13,68,3,227,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTB_M_R,Cropland,18,4,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTB_M_R,Built-up,23,0,0,0,3,34,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTB_M_R,Grassland,32,2,47,13,43,0,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTB_M_R,Shrubland,6,0,9,1,4,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTB_M_R,Bareland,1,0,1,1,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTB_M_R,Forest,0,2,212,138,60,251,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTB_M_R,Water,84,0,212,0,7,116,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTB_M_R,Cropland,2,0,1,0,6,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTB_M_R,Wetland,36,0,0,139,3,60,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTB_M_R,Built-up,4,0,3,0,19,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTB_M_R,Forest,0,13,205,103,79,257,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTB_M_R,Shrubland,0,0,9,3,11,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTB_M_R,Wetland,15,0,0,97,7,84,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTB_M_R,Grassland,14,10,64,18,60,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTB_M_R,Water,25,0,253,0,29,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTB_M_R,Cropland,1,0,5,0,7,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTB_M_R,Built-up,0,0,0,1,18,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTB_M_R,Bareland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTB_M_R,Grassland,144,28,37,13,0,0,189,30,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTB_M_R,Wetland,76,0,0,50,0,0,47,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTB_M_R,Forest,0,24,156,72,12,13,214,23,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTB_M_R,Bareland,12,2,0,0,0,1,28,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTB_M_R,Water,138,2,159,0,2,0,109,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTB_M_R,Cropland,8,0,1,1,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTB_M_R,Built-up,15,0,0,0,0,6,29,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTB_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTB_M_R,Shrubland,0,0,0,0,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTB_M_R,Grassland,0,0,37,13,0,0,0,0,103,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTB_M_R,Wetland,0,0,0,50,0,0,0,0,124,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTB_M_R,Forest,0,0,156,72,0,0,0,0,336,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTB_M_R,Water,0,0,159,0,0,0,0,0,113,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTB_M_R,Built-up,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTB_M_R,Cropland,0,0,1,1,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTB_M_R,Bareland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTB_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTB_M_R,Grassland,0,0,0,19,0,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTB_M_R,Wetland,0,0,0,130,0,0,0,0,0,128,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTB_M_R,Water,0,0,0,0,0,0,0,0,0,144,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTB_M_R,Forest,0,0,0,110,0,0,0,0,0,56,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTB_M_R,Cropland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTB_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTB_M_R,Shrubland,0,1,0,1,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTB_M_R,Grassland,33,32,3,15,1,0,0,86,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTB_M_R,Bareland,3,6,0,0,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTB_M_R,Forest,0,46,85,106,2,0,0,75,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTB_M_R,Wetland,51,1,0,48,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTB_M_R,Water,50,1,137,0,5,0,0,16,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTB_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTB_M_R,Forest,0,0,1,42,10,31,0,30,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTB_M_R,Shrubland,7,0,0,2,0,1,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTB_M_R,Bareland,4,0,0,0,0,1,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTB_M_R,Wetland,257,0,0,75,0,57,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTB_M_R,Water,284,0,57,0,3,36,0,0,0,0,6
