Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Water,Non_Water,Shrubland,Wetland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MTD_M_R,Shrubland,3,2,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTD_M_R,Grassland,0,2,1,9,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTD_M_R,Cropland,31,22,12,30,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTD_M_R,Wetland,8,12,0,9,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTD_M_R,Bareland,44,0,0,46,7,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTD_M_R,Built-up,8,13,0,12,2,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTD_M_R,Water,88,90,2,94,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTD_M_R,Forest,75,65,16,0,7,50,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTD_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTD_M_R,Cropland,0,0,0,0,0,7,12,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTD_M_R,Wetland,0,0,0,0,0,21,17,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTD_M_R,Bareland,0,0,0,0,0,63,51,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTD_M_R,Built-up,0,0,0,0,0,6,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTD_M_R,Water,0,0,0,0,0,0,128,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTD_M_R,Forest,0,0,0,0,0,79,58,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTD_M_R,Grassland,0,0,0,0,0,5,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTD_M_R,Water,38,34,15,52,68,0,0,61,43,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTD_M_R,Cropland,8,11,6,18,0,1,0,28,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTD_M_R,Bareland,18,0,18,34,41,15,0,33,23,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTD_M_R,Built-up,6,3,0,11,10,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTD_M_R,Forest,31,36,29,0,52,15,0,63,27,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTD_M_R,Grassland,0,2,0,10,7,1,0,13,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTD_M_R,Wetland,1,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTD_M_R,Grassland,0,2,7,15,11,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTD_M_R,Built-up,0,1,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTD_M_R,Forest,0,34,35,0,22,50,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTD_M_R,Water,0,84,33,65,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTD_M_R,Wetland,0,11,8,12,0,8,0,0,0,0,0
