Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Built-up,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,Non_Wetland,6,1,1,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,Grassland,181,0,79,95,45,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,Bareland,30,21,0,23,12,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,Built-up,86,54,120,59,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,Water,438,116,135,0,126,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,Shrubland,11,6,5,4,3,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,Cropland,17,13,11,14,6,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,Wetland,0,28,20,147,10,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,Forest,678,335,324,431,0,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R,Non_Wetland,0,8,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R,Grassland,26,0,2,16,137,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R,Wetland,0,501,0,201,229,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R,Bareland,1,156,0,23,109,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R,Built-up,2,368,19,56,220,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R,Water,122,1003,21,0,534,18,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R,Shrubland,3,32,1,2,24,8,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R,Cropland,0,128,0,3,59,4,0,0,0,0,0,0
