Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Non_Water,Shrubland,Cropland,Wetland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18MVC_M_R,Shrubland,2,1,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVC_M_R,Grassland,0,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVC_M_R,Cropland,4,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVC_M_R,Wetland,4,1,0,1,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVC_M_R,Bareland,5,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVC_M_R,Built-up,7,4,0,6,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVC_M_R,Water,16,10,1,34,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVC_M_R,Forest,42,10,10,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVC_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVC_M_R,Wetland,0,0,0,0,9,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVC_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVC_M_R,Water,0,0,0,0,0,40,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVC_M_R,Forest,0,0,0,0,38,20,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVC_M_R,Bareland,0,0,0,0,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVC_M_R,Built-up,4,3,0,2,0,0,5,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVC_M_R,Water,8,13,8,17,0,0,16,11,26,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVC_M_R,Forest,13,16,13,0,5,0,28,19,20,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVC_M_R,Grassland,0,1,1,2,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVC_M_R,Cropland,0,0,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVC_M_R,Bareland,2,0,1,2,0,0,0,1,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVC_M_R,Grassland,0,0,3,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVC_M_R,Bareland,0,0,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVC_M_R,Forest,0,0,16,0,31,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVC_M_R,Water,0,5,3,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVC_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVC_M_R,Wetland,0,2,1,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVC_M_R,Water,0,0,0,0,0,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVC_M_R,Forest,0,0,0,0,5,0,0,0,20,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVC_M_R,Bareland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVC_M_R,Wetland,1,0,0,11,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVC_M_R,Water,6,16,0,41,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVC_M_R,Forest,3,1,0,0,4,0,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVC_M_R,Grassland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVC_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVC_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0
