Dataset,MajorityClass,Grassland,Bareland,Water,Forest,Cropland,Built-up,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R,Shrubland,3,3,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R,Grassland,0,6,1,13,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R,Cropland,55,42,11,56,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R,Wetland,49,39,37,32,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R,Bareland,96,0,48,93,3,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R,Built-up,15,15,4,15,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R,Water,122,112,0,128,16,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R,Forest,99,94,48,0,30,11,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R,Permanent_ice_and_snow,9,9,2,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R,Shrubland,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R,Grassland,0,0,10,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R,Cropland,0,0,27,0,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R,Wetland,0,0,47,0,0,0,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R,Bareland,0,0,132,0,0,0,0,56,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R,Built-up,0,0,8,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R,Water,0,0,0,0,0,0,0,135,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R,Forest,0,0,107,0,0,0,0,62,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R,Permanent_ice_and_snow,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXN_M_R,Water,47,46,0,69,32,49,55,0,95,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXN_M_R,Cropland,23,12,0,21,0,19,0,0,37,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXN_M_R,Bareland,42,0,8,42,36,50,36,0,59,24,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXN_M_R,Built-up,11,4,1,7,5,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXN_M_R,Forest,58,35,12,0,37,40,37,0,72,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXN_M_R,Grassland,0,2,0,10,4,0,4,0,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXN_M_R,Wetland,1,0,0,1,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXN_M_R,Permanent_ice_and_snow,3,2,0,7,1,2,0,0,8,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXN_M_R,Grassland,0,8,16,19,9,12,0,0,0,0,0,0
