Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Shrubland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18NVJ_M_R,Shrubland,3,3,3,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVJ_M_R,Grassland,0,23,25,12,15,42,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVJ_M_R,Cropland,80,0,59,16,28,62,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVJ_M_R,Wetland,95,27,29,1,53,86,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVJ_M_R,Bareland,84,38,0,8,42,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVJ_M_R,Built-up,20,6,15,0,10,21,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVJ_M_R,Water,211,79,134,10,0,192,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVJ_M_R,Forest,106,56,81,21,50,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVJ_M_R,Permanent_ice_and_snow,6,0,4,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVJ_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVJ_M_R,Grassland,0,0,0,0,58,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVJ_M_R,Cropland,0,0,0,0,65,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVJ_M_R,Wetland,0,0,0,0,75,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVJ_M_R,Bareland,0,0,0,0,86,0,0,48,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVJ_M_R,Water,0,0,0,0,0,0,0,204,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVJ_M_R,Forest,0,0,0,0,124,0,0,61,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVJ_M_R,Built-up,0,0,0,0,15,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVJ_M_R,Water,104,64,53,13,0,115,62,0,132,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVJ_M_R,Cropland,56,0,30,14,8,64,21,0,79,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVJ_M_R,Wetland,24,8,10,0,1,29,0,0,41,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVJ_M_R,Bareland,47,28,0,13,15,55,24,0,74,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVJ_M_R,Built-up,14,13,10,0,1,14,0,0,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVJ_M_R,Forest,67,49,47,19,21,0,34,0,100,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVJ_M_R,Grassland,0,24,18,6,7,33,9,0,57,0,0
