Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Water,Wetland,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R,Grassland,393,97,90,89,21,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R,Non_Wetland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R,Cropland,264,0,75,91,2,0,396,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R,Bareland,115,24,0,60,7,2,285,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R,Built-up,97,27,51,0,0,0,206,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R,Water,589,2,140,0,0,112,500,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R,Forest,0,59,86,104,63,52,657,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R,Shrubland,16,3,5,8,1,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R,Wetland,241,0,17,3,69,0,255,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,Grassland,0,0,0,0,29,121,0,269,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,Shrubland,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,Forest,0,0,0,0,91,289,0,536,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,Water,0,0,0,0,0,346,0,227,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,Bareland,0,0,0,0,4,12,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,Cropland,0,0,0,0,10,28,0,42,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,Wetland,0,0,0,0,16,0,0,129,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,Built-up,0,0,0,0,0,4,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,Grassland,171,0,111,69,48,80,0,0,32,0,0,0
