Dataset,MajorityClass,Forest,Built-up,Cropland,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Grassland,524,94,70,75,80,88,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Non_Wetland,5,1,0,1,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Shrubland,19,6,0,2,3,1,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Cropland,196,53,0,0,26,6,320,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Wetland,880,3,0,0,9,384,1047,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Bareland,169,70,19,1,0,32,286,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Built-up,202,0,2,1,77,13,283,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Water,1054,29,0,178,288,0,1251,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Non_Water,2,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Forest,0,128,21,77,49,282,967,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Lichens_and_Mosses,2,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R,Permanent_ice_and_snow,1,0,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Non_Wetland,4,0,0,6,1,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Shrubland,12,7,0,6,5,11,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Grassland,436,94,0,343,185,339,0,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Cropland,73,47,0,79,87,33,329,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Wetland,596,6,0,0,22,661,495,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Bareland,53,50,0,24,0,99,222,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Built-up,56,0,0,34,162,46,122,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Water,656,91,0,524,150,0,715,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Forest,0,161,0,697,337,640,878,55,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Non_Water,1,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Lichens_and_Mosses,1,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Grassland,41,94,91,410,555,163,0,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Non_Wetland,0,0,0,11,3,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,Forest,0,117,52,1000,741,516,1168,23,0,0,0,0
