Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Cropland,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R,Shrubland,3,3,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R,Grassland,0,29,3,25,7,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R,Cropland,37,12,7,27,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R,Wetland,97,0,12,83,21,66,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R,Bareland,25,9,0,34,2,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R,Built-up,7,0,2,6,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R,Water,89,72,35,114,29,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R,Forest,93,61,37,0,31,45,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFF_M_R,Permanent_ice_and_snow,7,4,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFF_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFF_M_R,Grassland,0,10,0,0,0,3,0,54,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFF_M_R,Cropland,0,8,0,0,0,1,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFF_M_R,Bareland,0,16,0,0,0,7,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFF_M_R,Forest,0,40,0,0,0,23,0,127,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFF_M_R,Wetland,0,0,0,0,0,16,0,119,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFF_M_R,Water,0,59,0,0,0,0,0,59,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFF_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFF_M_R,Grassland,0,0,0,0,0,39,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFF_M_R,Cropland,0,0,0,0,0,17,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFF_M_R,Wetland,0,0,0,0,0,149,0,0,64,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFF_M_R,Bareland,0,0,0,0,0,43,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFF_M_R,Water,0,0,0,0,0,0,0,0,135,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFF_M_R,Forest,0,0,0,0,0,136,0,0,51,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFF_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFF_M_R,Water,33,59,43,60,19,0,10,0,0,47,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFF_M_R,Cropland,18,8,11,14,0,1,11,0,0,18,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFF_M_R,Wetland,13,0,33,37,0,16,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFF_M_R,Built-up,4,0,0,2,3,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFF_M_R,Forest,51,40,60,0,32,23,15,0,0,60,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFF_M_R,Grassland,0,10,19,21,11,3,2,0,0,22,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFF_M_R,Bareland,12,16,0,16,0,7,3,0,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFF_M_R,Permanent_ice_and_snow,4,0,1,4,1,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFF_M_R,Grassland,0,23,0,33,22,11,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFF_M_R,Wetland,0,0,28,63,16,54,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFF_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFF_M_R,Forest,0,58,16,0,27,51,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFF_M_R,Water,0,70,44,56,17,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFF_M_R,Cropland,0,0,4,13,0,2,1,0,0,0,0,0
