Dataset,MajorityClass,Grassland,Bareland,Forest,Water,Wetland,Shrubland,Cropland,Built-up,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYV_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYV_M_R,Shrubland,4,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYV_M_R,Grassland,0,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYV_M_R,Wetland,25,0,8,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYV_M_R,Bareland,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYV_M_R,Forest,88,4,0,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYV_M_R,Water,34,0,19,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYV_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYV_M_R,Non_Wetland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYV_M_R,Grassland,0,5,16,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYV_M_R,Forest,27,21,0,32,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYV_M_R,Shrubland,2,1,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYV_M_R,Wetland,6,0,13,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYV_M_R,Bareland,0,0,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYV_M_R,Cropland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYV_M_R,Water,3,0,30,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYV_M_R,Grassland,0,4,2,0,3,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYV_M_R,Bareland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYV_M_R,Forest,24,34,0,8,21,36,3,13,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYV_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYV_M_R,Wetland,0,4,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYV_M_R,Water,5,19,11,0,14,17,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYV_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYV_M_R,Bareland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYV_M_R,Forest,0,0,0,8,21,0,0,0,0,46,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYV_M_R,Grassland,0,0,0,0,3,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYV_M_R,Wetland,0,0,0,0,0,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYV_M_R,Water,0,0,0,0,14,0,0,0,0,20,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYV_M_R,Forest,0,0,0,56,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYV_M_R,Grassland,0,0,13,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYV_M_R,Wetland,0,0,4,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYV_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYV_M_R,Water,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYV_M_R,Forest,13,4,0,13,1,0,1,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYV_M_R,Wetland,1,0,10,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYV_M_R,Water,1,0,34,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYV_M_R,Grassland,0,0,10,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYV_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
