Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Water,Built-up,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R,Shrubland,3,1,1,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R,Grassland,0,5,3,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R,Cropland,31,0,1,15,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R,Wetland,33,1,0,23,23,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R,Lichens_and_Mosses,1,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R,Bareland,65,11,6,0,37,11,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R,Built-up,7,1,0,5,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R,Water,56,0,1,65,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R,Forest,33,0,3,5,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R,Permanent_ice_and_snow,1,0,0,9,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,Bareland,0,0,31,0,10,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,Grassland,0,0,4,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,Wetland,0,0,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,Water,0,0,33,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,Forest,0,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,Permanent_ice_and_snow,0,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGQ_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGQ_M_R,Wetland,0,0,0,0,21,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGQ_M_R,Bareland,0,0,0,0,67,0,0,0,0,27,0,0
