Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Cropland,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Forest,Permanent_ice_and_snow,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_19KFT_M_R,Shrubland,2,3,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFT_M_R,Grassland,0,7,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFT_M_R,Cropland,25,6,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFT_M_R,Wetland,24,16,3,7,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFT_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFT_M_R,Bareland,56,0,11,23,17,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFT_M_R,Built-up,8,10,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFT_M_R,Water,41,69,2,0,5,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFT_M_R,Permanent_ice_and_snow,7,19,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFT_M_R,Forest,7,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFT_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFT_M_R,Wetland,0,0,0,15,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFT_M_R,Bareland,0,0,0,69,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFT_M_R,Built-up,0,0,0,4,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFT_M_R,Water,0,0,0,0,0,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFT_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFT_M_R,Cropland,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFT_M_R,Permanent_ice_and_snow,0,0,0,10,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFT_M_R,Cropland,2,13,5,0,0,1,0,10,1,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFT_M_R,Bareland,7,0,25,11,6,34,0,39,16,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFT_M_R,Built-up,2,7,0,1,2,1,0,8,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFT_M_R,Grassland,0,5,5,1,2,2,0,3,2,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFT_M_R,Wetland,0,0,1,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFT_M_R,Water,2,22,10,0,2,29,0,29,7,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFT_M_R,Permanent_ice_and_snow,0,5,3,2,0,4,0,13,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFT_M_R,Forest,0,2,1,0,1,0,0,3,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFT_M_R,Grassland,0,6,2,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFT_M_R,Bareland,0,0,23,17,16,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFT_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFT_M_R,Wetland,0,16,5,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFT_M_R,Water,0,41,9,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFT_M_R,Cropland,0,3,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFT_M_R,Permanent_ice_and_snow,0,3,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFT_M_R,Bareland,0,0,0,11,0,34,0,0,0,0,0,6
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFT_M_R,Built-up,0,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFT_M_R,Grassland,0,0,0,1,0,2,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFT_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFT_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFT_M_R,Water,0,0,0,0,0,29,0,0,0,0,0,2
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFT_M_R,Permanent_ice_and_snow,0,0,0,2,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFT_M_R,Wetland,1,15,0,9,3,0,0,0,0,1,20,0
