Dataset,MajorityClass,Grassland,Bareland,Water,Wetland,Built-up,Permanent_ice_and_snow,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Forest,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R,Grassland,0,13,6,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R,Cropland,35,20,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R,Wetland,75,33,51,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R,Bareland,82,0,36,3,9,5,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R,Built-up,8,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R,Forest,46,10,7,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R,Water,90,79,0,5,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R,Permanent_ice_and_snow,12,14,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFR_M_R,Wetland,0,0,43,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFR_M_R,Bareland,0,0,66,0,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFR_M_R,Grassland,0,0,7,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFR_M_R,Water,0,0,0,0,0,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFR_M_R,Cropland,0,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFR_M_R,Permanent_ice_and_snow,0,0,3,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFR_M_R,Forest,0,0,5,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFR_M_R,Cropland,4,12,0,0,5,0,0,0,14,5,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFR_M_R,Wetland,0,5,1,0,2,0,4,0,22,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFR_M_R,Bareland,12,0,12,35,29,2,13,0,54,18,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFR_M_R,Built-up,0,2,0,0,0,0,2,0,4,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFR_M_R,Water,3,34,0,36,20,2,9,0,59,14,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFR_M_R,Grassland,0,8,1,6,5,0,8,0,20,1,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFR_M_R,Permanent_ice_and_snow,0,4,2,7,1,0,1,0,10,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFR_M_R,Forest,2,8,0,0,5,0,7,0,19,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFR_M_R,Grassland,0,16,7,15,4,0,9,0,0,0,6,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFR_M_R,Cropland,0,11,1,0,1,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFR_M_R,Wetland,0,32,17,0,0,8,2,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFR_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
