Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Cropland,Wetland,Non_Water,Shrubland,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18NUF_M_R,Shrubland,3,3,2,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUF_M_R,Grassland,0,19,9,21,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUF_M_R,Cropland,63,36,11,22,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUF_M_R,Wetland,62,13,5,53,52,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUF_M_R,Bareland,91,0,2,62,65,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUF_M_R,Built-up,20,11,0,10,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUF_M_R,Water,171,109,15,0,137,3,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NUF_M_R,Forest,111,72,29,73,0,5,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUF_M_R,Shrubland,0,0,0,3,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUF_M_R,Grassland,0,0,0,50,0,0,0,27,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUF_M_R,Cropland,0,0,0,23,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUF_M_R,Wetland,0,0,0,52,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUF_M_R,Bareland,0,0,0,105,0,0,0,63,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUF_M_R,Built-up,0,0,0,15,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUF_M_R,Water,0,0,0,0,0,0,0,173,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUF_M_R,Forest,0,0,0,123,0,0,0,72,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUF_M_R,Water,70,49,52,0,87,48,58,0,90,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUF_M_R,Cropland,19,9,12,2,32,0,4,0,50,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUF_M_R,Wetland,7,3,0,1,13,0,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUF_M_R,Bareland,39,0,43,13,49,30,25,0,58,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUF_M_R,Built-up,9,7,0,1,11,7,2,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUF_M_R,Forest,57,40,50,22,0,42,39,0,81,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUF_M_R,Grassland,0,12,7,7,23,12,12,0,38,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUF_M_R,Grassland,0,9,18,31,45,33,12,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUF_M_R,Wetland,0,12,12,28,16,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUF_M_R,Bareland,0,0,24,57,36,21,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUF_M_R,Built-up,0,1,0,2,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUF_M_R,Water,0,84,37,0,67,42,50,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUF_M_R,Forest,0,25,39,61,0,44,48,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUF_M_R,Cropland,0,1,11,15,22,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUF_M_R,Wetland,0,0,0,1,0,0,0,0,0,40
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUF_M_R,Grassland,0,0,0,7,0,0,12,0,0,16
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUF_M_R,Forest,0,0,0,22,0,0,39,0,0,53
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUF_M_R,Bareland,0,0,0,13,0,0,25,0,0,3
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUF_M_R,Built-up,0,0,0,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUF_M_R,Water,0,0,0,0,0,0,58,0,0,33
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUF_M_R,Cropland,0,0,0,2,0,0,4,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUF_M_R,Water,55,85,0,0,100,41,28,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUF_M_R,Wetland,17,19,0,17,32,16,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUF_M_R,Bareland,5,0,0,15,26,10,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUF_M_R,Built-up,5,6,0,2,5,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUF_M_R,Forest,33,30,0,28,0,28,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUF_M_R,Cropland,2,3,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUF_M_R,Grassland,0,10,0,9,13,9,4,0,0,0
