Dataset,MajorityClass,Shrubland,Grassland,Wetland,Forest,Water,Bareland,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,Non_Wetland,7,12,8,5,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,Shrubland,0,71,21,21,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,Grassland,86,0,183,112,97,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,Wetland,155,1066,0,158,542,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,Bareland,0,486,65,4,133,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,Water,59,1160,485,169,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,Forest,390,1036,388,0,278,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,Cropland,61,512,103,115,52,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWU_M_R,Built-up,1,46,1,4,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R,Non_Wetland,0,6,23,9,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R,Shrubland,0,61,119,70,2,7,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R,Grassland,0,0,589,309,75,51,20,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R,Wetland,0,494,0,339,307,23,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R,Bareland,0,114,175,58,66,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R,Water,0,514,1221,339,0,161,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R,Forest,0,449,894,0,165,47,24,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R,Cropland,0,263,422,202,26,48,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWU_M_R,Built-up,0,6,15,17,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWU_M_R,Wetland,0,0,0,0,103,0,0,0,1169,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWU_M_R,Shrubland,0,0,0,0,0,0,0,0,161,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWU_M_R,Grassland,0,0,155,0,85,0,0,0,1040,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWU_M_R,Forest,0,0,326,0,133,0,0,0,1593,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWU_M_R,Water,0,0,435,0,0,0,0,0,950,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWU_M_R,Cropland,0,0,19,0,17,0,0,0,595,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWU_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWU_M_R,Bareland,0,0,38,0,25,0,0,0,376,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWU_M_R,Built-up,0,0,0,0,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,Non_Wetland,7,8,9,4,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,Grassland,140,0,386,50,317,31,0,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,Wetland,174,585,0,100,774,23,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,Forest,462,778,671,0,425,82,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,Water,27,426,633,68,0,55,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,Shrubland,0,41,35,9,16,4,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,Cropland,67,265,170,51,186,66,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,Bareland,2,178,211,1,286,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWU_M_R,Built-up,4,20,4,0,7,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWU_M_R,Grassland,0,0,0,0,209,0,0,0,0,202,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWU_M_R,Water,0,0,0,0,0,0,0,0,0,753,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWU_M_R,Wetland,0,0,0,0,533,0,0,0,0,465,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWU_M_R,Forest,0,0,0,0,280,0,0,0,0,182,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWU_M_R,Shrubland,0,0,0,0,7,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWU_M_R,Cropland,0,0,0,0,48,0,0,0,0,42,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWU_M_R,Bareland,0,0,0,0,148,0,0,0,0,106,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWU_M_R,Grassland,531,0,155,356,85,113,71,470,0,0,29,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWU_M_R,Wetland,290,14,0,336,103,75,8,219,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWU_M_R,Forest,475,120,326,0,133,91,28,429,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWU_M_R,Bareland,100,2,38,92,25,0,31,176,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWU_M_R,Water,392,2,435,434,0,169,8,359,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWU_M_R,Shrubland,0,3,0,7,0,1,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWU_M_R,Cropland,172,28,19,117,17,18,13,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWU_M_R,Built-up,6,0,0,2,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWU_M_R,Forest,0,0,131,0,278,12,55,358,0,0,0,0
