Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Wetland,Water,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LEH_M_R,Grassland,224,29,99,62,11,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEH_M_R,Cropland,95,0,21,38,0,2,111,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEH_M_R,Bareland,72,1,0,14,1,20,88,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEH_M_R,Water,559,0,213,5,10,0,343,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEH_M_R,Forest,0,7,75,45,17,60,268,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEH_M_R,Shrubland,3,0,2,1,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEH_M_R,Built-up,121,3,30,0,0,2,95,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEH_M_R,Wetland,58,0,8,1,0,21,55,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEH_M_R,Lichens_and_Mosses,0,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEH_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEH_M_R,Grassland,35,0,64,29,3,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEH_M_R,Cropland,9,0,16,14,0,2,99,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEH_M_R,Bareland,8,0,0,9,1,4,85,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEH_M_R,Water,77,0,68,9,35,0,417,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEH_M_R,Forest,0,0,52,35,51,87,460,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEH_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEH_M_R,Built-up,9,0,44,0,2,4,71,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEH_M_R,Wetland,3,0,4,0,0,3,39,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEH_M_R,Forest,0,3,403,25,0,159,359,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEH_M_R,Grassland,26,3,311,40,0,117,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEH_M_R,Water,45,0,394,0,0,0,174,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEH_M_R,Shrubland,0,0,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEH_M_R,Cropland,4,0,96,16,0,5,84,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEH_M_R,Wetland,3,0,35,0,0,17,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEH_M_R,Built-up,6,0,122,0,0,6,79,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEH_M_R,Bareland,0,0,0,3,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEH_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEH_M_R,Grassland,0,0,0,0,45,18,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEH_M_R,Water,0,0,0,0,217,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEH_M_R,Bareland,0,0,0,0,15,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEH_M_R,Forest,0,0,0,0,152,50,0,74,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEH_M_R,Built-up,0,0,0,0,9,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEH_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEH_M_R,Wetland,0,0,0,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEH_M_R,Grassland,184,185,46,89,45,18,0,0,127,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEH_M_R,Bareland,34,42,0,39,15,2,64,0,27,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEH_M_R,Water,232,83,94,68,217,0,172,0,184,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEH_M_R,Forest,0,136,95,74,152,50,148,0,122,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEH_M_R,Built-up,33,49,14,0,9,1,59,0,19,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEH_M_R,Cropland,35,0,5,25,1,0,29,0,18,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEH_M_R,Wetland,5,2,0,0,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEH_M_R,Permanent_ice_and_snow,2,2,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEH_M_R,Water,0,0,0,0,0,0,0,0,0,0,317,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEH_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEH_M_R,Grassland,0,0,0,0,0,122,0,0,0,0,47,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEH_M_R,Bareland,0,0,0,0,0,28,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEH_M_R,Cropland,0,0,0,0,0,4,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEH_M_R,Wetland,0,0,0,0,0,28,0,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEH_M_R,Built-up,0,0,0,0,0,12,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEH_M_R,Forest,0,0,0,0,0,197,0,0,0,0,137,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEH_M_R,Grassland,93,284,1,144,0,111,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEH_M_R,Forest,0,122,5,182,13,284,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEH_M_R,Bareland,9,49,0,71,0,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEH_M_R,Wetland,6,14,4,22,0,31,0,0,0,0,0,0
