Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KRA_M_R,Shrubland,107,18,86,14,11,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRA_M_R,Grassland,0,50,330,111,72,47,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRA_M_R,Non_Wetland,7,1,4,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRA_M_R,Bareland,137,0,64,20,26,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRA_M_R,Built-up,186,68,154,28,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRA_M_R,Water,518,155,539,32,9,0,67,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRA_M_R,Forest,851,125,0,140,130,123,101,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRA_M_R,Wetland,83,0,59,1,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRA_M_R,Non_Water,1,1,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRA_M_R,Cropland,231,58,193,0,49,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRA_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRA_M_R,Non_Wetland,1,0,1,0,0,1,5,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRA_M_R,Shrubland,45,16,26,0,9,12,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRA_M_R,Grassland,0,70,121,0,32,134,70,73,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRA_M_R,Bareland,91,0,28,0,21,26,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRA_M_R,Built-up,123,70,41,0,0,31,1,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRA_M_R,Water,356,13,151,0,12,0,23,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRA_M_R,Forest,600,152,0,0,64,341,160,253,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRA_M_R,Non_Water,1,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRA_M_R,Cropland,255,102,94,0,29,11,8,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRA_M_R,Wetland,24,2,4,0,0,51,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRA_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRA_M_R,Grassland,0,118,130,0,39,76,53,74,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRA_M_R,Forest,517,278,0,0,65,277,169,194,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRA_M_R,Bareland,62,0,2,0,17,2,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRA_M_R,Water,134,62,154,0,16,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRA_M_R,Non_Wetland,0,2,1,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRA_M_R,Built-up,113,78,29,0,0,5,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRA_M_R,Non_Water,1,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRA_M_R,Shrubland,34,32,19,0,9,7,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRA_M_R,Cropland,232,107,91,0,39,13,4,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRA_M_R,Wetland,17,16,6,0,0,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRA_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRA_M_R,Grassland,0,0,0,0,0,8,33,0,173,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRA_M_R,Wetland,0,0,0,0,0,0,0,0,99,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRA_M_R,Forest,0,0,0,0,0,60,132,0,446,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRA_M_R,Shrubland,0,0,0,0,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRA_M_R,Water,0,0,0,0,0,0,152,0,184,0,0,0
