Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LMJ_M_R,Shrubland,2,2,2,2,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMJ_M_R,Grassland,0,15,33,7,10,22,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMJ_M_R,Cropland,68,0,45,16,9,43,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMJ_M_R,Wetland,68,20,0,2,23,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMJ_M_R,Bareland,23,6,19,0,2,10,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMJ_M_R,Built-up,13,6,0,5,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMJ_M_R,Water,73,11,62,3,0,70,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMJ_M_R,Forest,80,21,63,7,20,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMJ_M_R,Permanent_ice_and_snow,4,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMJ_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMJ_M_R,Grassland,0,0,8,0,6,0,0,59,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMJ_M_R,Cropland,0,0,24,0,18,0,0,60,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMJ_M_R,Bareland,0,0,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMJ_M_R,Forest,0,0,33,0,20,0,0,108,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMJ_M_R,Wetland,0,0,0,0,16,0,0,114,0,0,0,0
