Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Water,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Shrubland,64,105,122,8,7,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Non_Wetland,4,8,23,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Grassland,0,260,443,28,40,55,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Forest,262,0,754,8,22,126,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Wetland,220,636,0,7,23,277,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Bareland,15,26,30,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Water,151,397,872,2,36,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Non_Water,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Cropland,144,154,137,0,26,5,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Built-up,6,9,5,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVB_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Non_Wetland,11,4,6,0,0,5,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Shrubland,52,16,20,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Grassland,0,69,118,0,8,67,0,123,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Wetland,996,184,0,0,0,645,0,387,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Bareland,74,0,8,0,0,17,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Water,720,116,321,0,0,0,0,113,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Forest,818,0,366,0,9,264,0,474,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Non_Water,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Cropland,217,44,48,0,11,22,0,80,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Built-up,28,1,0,0,2,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVB_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVB_M_R,Non_Wetland,8,4,8,0,2,5,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVB_M_R,Grassland,0,49,182,1,60,119,0,107,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVB_M_R,Wetland,781,290,0,0,20,641,0,432,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVB_M_R,Forest,656,0,429,0,108,270,0,498,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVB_M_R,Non_Water,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVB_M_R,Water,451,133,392,0,87,0,0,105,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVB_M_R,Shrubland,42,6,28,0,28,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVB_M_R,Bareland,29,0,4,0,0,23,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVB_M_R,Cropland,183,17,62,0,76,43,0,43,0,0,0,0
