Dataset,MajorityClass,Wetland,Grassland,Forest,Water,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MES_M_R,Non_Wetland,11,2,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MES_M_R,Grassland,408,0,48,203,112,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MES_M_R,Bareland,45,16,10,20,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MES_M_R,Water,1004,41,82,0,110,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MES_M_R,Forest,972,271,0,553,277,71,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MES_M_R,Non_Water,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MES_M_R,Shrubland,7,2,1,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MES_M_R,Cropland,42,5,8,17,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MES_M_R,Wetland,0,51,10,429,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MES_M_R,Built-up,60,40,20,44,118,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MES_M_R,Non_Wetland,0,7,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MES_M_R,Grassland,5,0,162,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MES_M_R,Wetland,0,912,622,252,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MES_M_R,Bareland,0,88,64,11,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MES_M_R,Water,125,1016,622,0,11,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MES_M_R,Non_Water,0,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MES_M_R,Shrubland,0,8,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MES_M_R,Built-up,0,202,161,15,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MES_M_R,Cropland,0,50,28,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MES_M_R,Forest,13,696,0,167,5,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MES_M_R,Grassland,43,0,0,32,0,0,536,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MES_M_R,Wetland,0,0,0,58,0,0,735,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MES_M_R,Forest,261,0,0,101,0,0,1254,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MES_M_R,Water,435,0,0,0,0,0,748,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MES_M_R,Shrubland,0,0,0,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MES_M_R,Cropland,0,0,0,0,0,0,55,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MES_M_R,Bareland,4,0,0,0,0,0,55,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MES_M_R,Built-up,15,0,0,19,0,0,75,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MES_M_R,Non_Wetland,5,2,0,4,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MES_M_R,Forest,475,483,0,359,651,166,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MES_M_R,Grassland,190,0,0,114,187,72,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MES_M_R,Non_Water,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MES_M_R,Water,478,241,75,0,448,149,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MES_M_R,Shrubland,4,1,0,2,7,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MES_M_R,Cropland,13,9,0,24,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MES_M_R,Wetland,0,299,25,343,289,52,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MES_M_R,Bareland,5,10,0,12,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MES_M_R,Built-up,18,22,2,21,87,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MES_M_R,Grassland,0,0,0,162,0,0,0,107,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MES_M_R,Water,0,0,0,0,0,0,0,548,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MES_M_R,Wetland,0,0,0,636,0,0,0,302,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MES_M_R,Shrubland,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MES_M_R,Cropland,0,0,0,3,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MES_M_R,Bareland,0,0,0,21,0,0,0,10,0,0,0
