Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MTN_M_R,Grassland,159,26,24,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTN_M_R,Non_Wetland,3,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTN_M_R,Shrubland,14,1,2,0,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTN_M_R,Wetland,70,10,2,0,78,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTN_M_R,Bareland,19,0,2,0,29,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTN_M_R,Water,231,27,1,17,91,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTN_M_R,Cropland,23,1,5,0,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTN_M_R,Built-up,15,1,0,0,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTN_M_R,Forest,0,14,12,7,207,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MTN_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTN_M_R,Non_Wetland,1,1,0,4,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTN_M_R,Shrubland,5,1,1,8,18,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTN_M_R,Grassland,36,53,10,37,0,13,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTN_M_R,Bareland,4,0,0,2,33,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTN_M_R,Water,87,4,0,98,138,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTN_M_R,Forest,0,38,8,262,375,99,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTN_M_R,Cropland,2,8,1,1,29,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTN_M_R,Wetland,22,5,0,0,53,14,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTN_M_R,Built-up,2,6,0,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTN_M_R,Permanent_ice_and_snow,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTN_M_R,Grassland,11,80,0,44,0,10,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTN_M_R,Non_Wetland,0,0,0,5,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTN_M_R,Forest,0,64,0,122,377,152,123,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTN_M_R,Shrubland,0,4,0,3,13,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTN_M_R,Cropland,2,18,0,2,19,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTN_M_R,Built-up,0,11,0,1,33,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTN_M_R,Wetland,7,5,0,0,52,30,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTN_M_R,Bareland,0,0,0,4,16,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTN_M_R,Water,33,8,0,37,90,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTN_M_R,Permanent_ice_and_snow,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTN_M_R,Grassland,0,0,0,29,0,7,0,83,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTN_M_R,Wetland,0,0,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTN_M_R,Forest,0,0,0,174,0,35,0,331,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTN_M_R,Shrubland,0,0,0,0,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTN_M_R,Cropland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTN_M_R,Bareland,0,0,0,0,0,0,0,6,0,0,0,0
