Dataset,MajorityClass,Forest,Cropland,Water,Wetland,Bareland,Built-up,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KGB_M_R,Grassland,96,94,18,5,7,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGB_M_R,Non_Wetland,3,5,1,0,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGB_M_R,Water,727,179,0,131,128,74,558,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGB_M_R,Forest,0,219,338,171,45,132,837,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGB_M_R,Shrubland,23,15,9,4,3,4,56,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGB_M_R,Cropland,516,0,180,64,182,209,813,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGB_M_R,Wetland,337,86,210,0,4,13,407,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGB_M_R,Bareland,57,56,37,0,0,37,136,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGB_M_R,Built-up,299,136,72,0,145,0,340,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGB_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGB_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGB_M_R,Non_Wetland,4,0,0,13,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGB_M_R,Shrubland,10,0,5,29,5,7,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGB_M_R,Grassland,79,0,34,186,5,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGB_M_R,Cropland,250,0,260,544,256,346,249,5,0,0,0,0
