Dataset,MajorityClass,Forest,Grassland,Bareland,Built-up,Cropland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MES_M_R,Shrubland,59,88,7,11,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MES_M_R,Grassland,376,0,53,59,88,50,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MES_M_R,Non_Wetland,5,6,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MES_M_R,Bareland,314,418,0,32,63,14,155,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MES_M_R,Forest,0,616,53,28,29,55,69,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MES_M_R,Cropland,125,183,7,18,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MES_M_R,Built-up,112,188,30,0,32,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MES_M_R,Water,507,541,194,3,14,105,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MES_M_R,Wetland,166,170,40,0,7,0,64,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MES_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MES_M_R,Non_Wetland,1,4,2,0,0,9,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MES_M_R,Shrubland,17,51,32,2,0,18,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MES_M_R,Grassland,150,0,303,44,0,112,48,106,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MES_M_R,Cropland,59,199,63,11,0,5,3,24,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MES_M_R,Bareland,45,147,0,12,0,39,13,2,0,0,0
