Dataset,MajorityClass,Forest,Bareland,Water,Built-up,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MVN_M_R,Grassland,80,11,4,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVN_M_R,Non_Wetland,7,2,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVN_M_R,Bareland,386,0,140,7,435,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVN_M_R,Shrubland,42,3,1,1,99,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVN_M_R,Wetland,139,18,49,0,158,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVN_M_R,Water,276,62,0,1,149,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVN_M_R,Forest,0,38,112,11,441,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVN_M_R,Cropland,17,4,1,1,34,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVN_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVN_M_R,Built-up,40,5,0,0,63,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVN_M_R,Permanent_ice_and_snow,1,4,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVN_M_R,Non_Wetland,2,2,0,0,2,10,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVN_M_R,Shrubland,15,23,0,7,12,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVN_M_R,Grassland,51,147,5,8,0,57,71,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVN_M_R,Bareland,18,0,10,1,27,49,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVN_M_R,Water,50,564,0,0,15,112,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVN_M_R,Forest,0,714,76,25,224,282,251,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVN_M_R,Cropland,6,26,1,3,6,6,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVN_M_R,Wetland,21,182,2,0,19,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVN_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVN_M_R,Built-up,9,58,1,0,10,6,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVN_M_R,Permanent_ice_and_snow,0,1,0,0,0,4,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVN_M_R,Grassland,2,94,10,0,0,42,68,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVN_M_R,Non_Wetland,0,2,2,0,2,9,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVN_M_R,Forest,0,573,170,13,394,162,284,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVN_M_R,Water,35,459,0,0,53,8,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVN_M_R,Shrubland,1,18,6,0,26,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVN_M_R,Built-up,0,50,2,0,30,5,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVN_M_R,Cropland,0,18,3,0,20,9,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVN_M_R,Wetland,6,207,24,0,43,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVN_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVN_M_R,Bareland,19,0,40,0,107,17,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVN_M_R,Permanent_ice_and_snow,0,6,0,0,5,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVN_M_R,Grassland,0,0,2,0,0,21,0,107,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVN_M_R,Wetland,0,0,0,0,0,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVN_M_R,Forest,0,0,60,0,0,288,0,468,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVN_M_R,Shrubland,0,0,0,0,0,0,0,37,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVN_M_R,Cropland,0,0,0,0,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVN_M_R,Bareland,0,0,47,0,0,179,0,261,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVN_M_R,Built-up,0,0,0,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVN_M_R,Water,0,0,0,0,0,222,0,71,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVN_M_R,Bareland,0,0,319,0,0,0,0,0,117,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVN_M_R,Grassland,0,0,12,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVN_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVN_M_R,Wetland,0,0,49,0,0,0,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVN_M_R,Water,0,0,0,0,0,0,0,0,162,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVN_M_R,Forest,0,0,156,0,0,0,0,0,93,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVN_M_R,Built-up,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVN_M_R,Forest,0,217,60,99,127,288,248,0,0,160,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVN_M_R,Grassland,56,25,2,51,0,21,81,0,0,99,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVN_M_R,Built-up,7,0,0,0,3,0,12,0,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVN_M_R,Wetland,2,4,0,4,2,0,16,0,0,8,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVN_M_R,Bareland,116,0,47,123,81,179,181,0,0,195,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVN_M_R,Water,51,91,0,18,13,222,53,0,0,37,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVN_M_R,Shrubland,5,8,0,6,3,0,0,0,0,7,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVN_M_R,Cropland,4,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVN_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,4,0,0
