Dataset,MajorityClass,Grassland,Bareland,Forest,Built-up,Cropland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R,Shrubland,98,7,58,7,7,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R,Grassland,0,63,287,71,57,34,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R,Non_Wetland,3,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R,Bareland,122,0,30,4,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R,Built-up,133,38,135,0,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R,Water,564,158,467,7,18,0,57,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R,Forest,777,55,0,55,63,82,69,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R,Wetland,134,6,85,1,2,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R,Cropland,176,23,112,41,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KUG_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUG_M_R,Non_Wetland,1,0,0,0,0,0,3,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUG_M_R,Shrubland,22,4,6,3,0,6,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUG_M_R,Grassland,0,66,109,49,0,88,143,137,0,0,0,0
