Dataset,MajorityClass,Forest,Grassland,Water,Wetland,Shrubland,Bareland,Non_Wetland,Cropland,Non_Water,Built-up,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MPC_M_R,Grassland,15,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPC_M_R,Non_Wetland,8,7,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPC_M_R,Wetland,234,300,73,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPC_M_R,Bareland,11,19,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPC_M_R,Water,322,374,0,188,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPC_M_R,Shrubland,10,9,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPC_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPC_M_R,Built-up,9,7,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPC_M_R,Forest,0,212,25,17,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPC_M_R,Non_Wetland,1,1,2,7,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPC_M_R,Grassland,6,0,12,36,1,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPC_M_R,Bareland,3,2,6,8,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPC_M_R,Forest,0,118,205,395,7,57,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPC_M_R,Water,57,81,0,331,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPC_M_R,Shrubland,2,1,2,5,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPC_M_R,Wetland,27,60,203,0,2,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPC_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPC_M_R,Built-up,1,2,1,7,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPC_M_R,Grassland,0,0,0,5,0,0,68,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPC_M_R,Wetland,0,0,29,0,0,0,252,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPC_M_R,Forest,0,0,55,132,0,0,615,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPC_M_R,Water,0,0,0,154,0,0,402,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPC_M_R,Shrubland,0,0,0,0,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPC_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPC_M_R,Bareland,0,0,0,0,0,0,19,0,0,0,0,0
