Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Cropland
22,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
26,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
