Dataset,MajorityClass,Wetland,Shrubland,Grassland,Forest,Bareland,Built-up,Water,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,Non_Wetland,10,3,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,Shrubland,27,0,8,15,10,3,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,Grassland,127,30,0,35,24,3,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,Bareland,110,6,4,5,0,1,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,Forest,501,175,124,0,66,10,187,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,Water,300,35,15,57,14,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,Cropland,3,2,0,2,3,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,Wetland,0,31,41,12,5,1,86,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,Built-up,19,16,4,5,19,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,Permanent_ice_and_snow,6,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R,Non_Wetland,0,0,5,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R,Shrubland,2,0,70,41,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R,Grassland,0,0,0,40,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R,Wetland,0,0,310,165,18,0,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R,Bareland,0,0,84,38,0,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R,Water,25,0,180,262,32,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R,Cropland,0,0,6,8,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R,Built-up,0,0,43,43,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R,Forest,1,0,284,0,6,0,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R,Permanent_ice_and_snow,0,0,2,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,Grassland,29,41,0,1,17,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,Non_Wetland,5,4,3,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,Forest,174,266,290,0,189,0,106,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,Shrubland,14,0,16,0,12,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,Wetland,0,95,121,9,77,0,108,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,Water,67,49,106,45,145,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,Cropland,0,6,5,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,Bareland,4,7,39,0,0,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,Built-up,10,34,34,0,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,Permanent_ice_and_snow,0,0,2,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,Grassland,10,0,0,0,0,0,0,146,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,Wetland,0,0,0,0,0,0,0,102,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,Forest,200,0,0,0,0,0,34,576,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,Shrubland,0,0,0,0,0,0,0,41,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,Water,300,0,0,0,0,0,0,176,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,Cropland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,Bareland,36,0,0,0,0,0,5,99,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,Built-up,0,0,0,0,0,0,0,27,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUM_M_R,Grassland,0,0,0,0,0,0,16,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUM_M_R,Wetland,0,0,0,0,0,0,147,0,86,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUM_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUM_M_R,Bareland,0,0,0,0,0,0,49,0,19,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUM_M_R,Water,0,0,0,0,0,0,0,0,158,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUM_M_R,Forest,0,0,0,0,0,0,112,0,110,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,Grassland,10,49,0,38,17,24,0,0,0,43,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,Wetland,0,37,3,21,8,2,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,Forest,200,174,78,0,151,28,34,0,0,78,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,Bareland,36,20,13,2,0,15,5,0,0,40,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,Water,300,84,13,78,66,11,0,0,0,20,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,Shrubland,0,0,2,3,6,3,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,Built-up,0,6,1,2,1,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,Grassland,2,0,0,26,6,32,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,Wetland,0,0,0,83,54,26,137,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,Water,8,0,0,53,43,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,Shrubland,0,0,0,4,1,24,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,Bareland,0,0,0,5,0,10,19,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,Forest,26,0,0,0,3,107,238,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUM_M_R,Wetland,0,0,27,283,54,0,34,0,0,5,0,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUM_M_R,Forest,1,0,15,0,5,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUM_M_R,Shrubland,0,0,2,38,1,0,0,0,0,4,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUM_M_R,Water,16,0,1,281,94,0,0,0,0,6,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUM_M_R,Grassland,3,0,0,56,20,0,1,0,0,7,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUM_M_R,Bareland,2,0,0,4,0,0,1,0,0,1,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUM_M_R,Built-up,0,0,0,6,0,0,0,0,0,0,0,2
