Dataset,MajorityClass,Forest,Grassland,Water,Bareland,Wetland,Non_Wetland,Cropland,Shrubland,Lichens_and_Mosses,Built-up,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R,Grassland,9,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R,Non_Wetland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R,Wetland,42,39,26,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R,Forest,0,68,74,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R,Built-up,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R,Bareland,3,3,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R,Water,147,65,0,8,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,Grassland,4,0,1,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,Non_Wetland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,Wetland,3,2,17,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,Forest,0,37,128,22,210,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,Water,30,0,0,0,178,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,Bareland,0,0,7,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHN_M_R,Grassland,0,0,0,0,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHN_M_R,Forest,0,0,34,0,88,245,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHN_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHN_M_R,Water,0,0,0,0,131,103,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHN_M_R,Bareland,0,0,1,0,9,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,Grassland,0,0,1,2,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,Non_Wetland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,Forest,0,90,93,16,142,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,Wetland,4,13,27,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,Water,19,14,0,8,99,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,Bareland,0,0,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHN_M_R,Grassland,8,0,0,1,1,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHN_M_R,Bareland,0,2,1,0,9,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHN_M_R,Water,59,37,0,57,131,0,3,9,1,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHN_M_R,Forest,0,59,34,59,88,0,33,17,0,13,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHN_M_R,Grassland,2,0,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHN_M_R,Bareland,0,0,1,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHN_M_R,Forest,0,0,141,1,0,0,0,0,0,12,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHN_M_R,Wetland,40,0,52,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHN_M_R,Water,46,0,0,40,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHN_M_R,Wetland,0,0,25,0,0,0,0,0,0,0,35
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHN_M_R,Water,0,0,0,0,0,0,0,0,0,0,116
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHN_M_R,Bareland,0,0,4,0,0,0,0,0,0,0,6
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHN_M_R,Forest,0,0,96,0,0,0,0,0,0,0,57
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHN_M_R,Forest,0,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHN_M_R,Wetland,79,0,15,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHN_M_R,Water,240,0,0,47,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHN_M_R,Grassland,9,0,0,0,0,0,0,0,0,0,0
